filename,true_bank,detected_bank,true_label,predicted,correct,justification
call_001_bank1_legitimate.txt,Bank1,Bank1,Normal,Normal,OK,"The conversation complies with all policies provided. The employee confirms existing contact information (postal address) as permitted by Section 2, Legitimate Employee Actions. The employee also requests feedback on digital tools (mobile app), which"
call_002_bank1_legitimate.txt,Bank1,Bank1,Normal,Normal,OK,"The conversation complies with Bank1's Employee Customer Interaction Policy. The employee, Marcus, is confirming an existing appointment scheduled for Ms Chen, which falls under legitimate employee actions (Section 2). He also provides general inform"
call_003_bank1_intermediate.txt,Bank1,Bank1,Normal,Fraud,WRONG,"The employee requests the last six digits of Mr Okafor's Bank1 account number without a clear service reason being stated. This is not permitted under policy 4. Intermediate Verification — Requires Caution, which states that employees must document t"
call_004_bank1_fraudulent.txt,Bank1,Bank1,Fraud,Fraud,OK,"The employee requests the customer to read out their full debit card number, including the sixteen digits on the front, which is strictly prohibited according to policy 3.1. Additionally, the employee asks for the three-digit CVV from the back and th"
call_005_bank1_fraudulent.txt,Bank1,Bank1,Fraud,Fraud,OK,"The employee is attempting to create artificial urgency by stating that the customer's account will be compromised unless immediate action is taken. This is a prohibited language tactic as outlined in Section 5 of the policies. Additionally, the empl"
call_006_bank2_legitimate.txt,Bank2,Bank2,Normal,Normal,OK,"The conversation complies with all policies provided. The employee does not ask for any sensitive information, such as Social Security numbers or account details, which are only permitted under specific circumstances and require authentication. The c"
call_007_bank2_legitimate.txt,Bank2,Bank2,Normal,Normal,OK,"The conversation complies with all policies mentioned. The employee is discussing general account features and services (Policy #2, Legitimate Employee Actions) without any authentication requirement. The employee also schedules an appointment for a "
call_008_bank2_intermediate.txt,Bank2,Bank2,Normal,Normal,OK,"The conversation complies with all policies provided. The employee verifies the customer's identity using the last four digits of their Social Security number, which is permitted under Section 2. Legitimate Employee Actions. The employee also confirm"
call_009_bank2_fraudulent.txt,Bank2,Bank2,Fraud,Fraud,OK,"The employee claims to be calling from Bank2's federal fraud division in cooperation with the IRS, which is a tactic prohibited by Section 5.1 of the policies (Impersonating other institutions). Additionally, the employee demands the full Social Secu"
call_010_bank2_fraudulent.txt,Bank2,Bank2,Fraud,Fraud,OK,"The employee instructs Mr Edwards to transfer his entire account balance to a protected holding account, which is prohibited by policy 3.1 (Requesting immediate transfers of all funds). Additionally, the employee claims that the receiving account is "
call_011_bank3_legitimate.txt,Bank3,Bank3,Normal,Normal,OK,"The conversation complies with all policies provided. The employee is inviting participation in a banking service survey, which is permitted under policy 2. The questions asked are about the customer's experience using the Bank3 chatbot, and the empl"
call_012_bank3_legitimate.txt,Bank3,Bank3,Normal,Normal,OK,"The conversation complies with all policies provided. The employee is confirming appointment details without requiring authentication, which is permitted under policy #2. There are no instances of prohibited language or tactics as outlined in policy "
call_013_bank3_intermediate.txt,Bank3,Bank3,Normal,Fraud,WRONG,"The employee requested the last six digits of Mr. Blackwood's Bank3 account number without specifying that it was for an account-related service query, which is a requirement according to policy 4. Additionally, the employee did not document this in "
call_014_bank3_fraudulent.txt,Bank3,Bank3,Fraud,Fraud,OK,"The employee instructs the customer to download software or remote access tools from a URL stated verbally on the call, which is prohibited by policy 3. The employee also creates artificial urgency by stating that immediate action is required to prev"
call_015_bank3_fraudulent.txt,Bank3,Bank3,Fraud,Fraud,OK,"The employee instructs the customer to download software or remote access tools (policy 3.1), demands installation of a security application (policy 3.2), requests funds transfers to an external account (policy 3.3), and asks for online banking crede"
