token,coefficient,pushes_toward,scam_docs,legit_docs
your,3.2451,Fraud,360,227
to,2.5702,Fraud,365,278
to this,2.221,Fraud,73,2
an,2.0641,Fraud,132,18
of,1.9572,Fraud,189,55
the,1.8803,Fraud,276,173
your and,1.8001,Fraud,139,30
will,1.7787,Fraud,156,28
and,1.6521,Fraud,338,202
our,1.468,Fraud,190,78
we,1.376,Fraud,300,192
with,1.3287,Fraud,187,71
the of,1.324,Fraud,88,6
the to,1.2331,Fraud,74,9
name and,1.2128,Fraud,81,3
your name,1.1969,Fraud,37,1
have,1.1895,Fraud,174,84
we have,1.1238,Fraud,87,18
as,1.0747,Fraud,72,10
to your,1.0522,Fraud,161,41
full,1.0228,Fraud,53,2
your to,1.0172,Fraud,92,10
your full,1.0142,Fraud,48,0
now,1.0034,Fraud,76,12
please,1.0028,Fraud,101,42
in,0.9753,Fraud,171,95
the we,0.9337,Fraud,62,8
full name,0.9206,Fraud,43,0
from the,0.9041,Fraud,57,7
been,0.8723,Fraud,76,26
please your,0.853,Fraud,52,13
get,0.8408,Fraud,38,5
am name,0.821,Fraud,43,0
first,0.8182,Fraud,47,2
we your,0.8122,Fraud,50,9
we will,0.8045,Fraud,49,5
to we,0.8026,Fraud,28,1
you will,0.8002,Fraud,41,3
for to,0.7713,Fraud,32,6
and your,0.768,Fraud,61,9
system,0.7547,Fraud,20,1
for,0.7489,Fraud,251,169
with our,0.7479,Fraud,44,2
to the,0.7466,Fraud,101,22
please the,0.7395,Fraud,22,5
this will,0.7272,Fraud,21,1
and this,0.7246,Fraud,28,3
to our,0.7226,Fraud,73,10
will be,0.718,Fraud,60,12
you have,0.7112,Fraud,60,26
part,0.7047,Fraud,33,2
is and,0.6924,Fraud,45,8
the first,0.6868,Fraud,42,2
some,0.6777,Fraud,31,18
have been,0.6763,Fraud,53,14
your your,0.6731,Fraud,39,2
it is,0.6375,Fraud,96,43
in this,0.6231,Fraud,16,1
to get,0.6179,Fraud,28,2
and to,0.6163,Fraud,67,17
do not,0.6081,Fraud,35,1
this to,0.5838,Fraud,27,3
by,0.5656,Fraud,67,25
will you,0.5598,Fraud,25,3
is to,0.5598,Fraud,50,13
once,0.5446,Fraud,35,1
part of,0.5421,Fraud,24,2
