pair_id,label,source,original_id,conversation_length_words,length_difference_words,text
1,nonscam,technical_support_json,technical_support_1,113,5,"Hi, my webcam not working and I have no idea what to do. Hello! I'm sorry to hear that. Let's fix this together. When did webcam not working start? Since this morning. It was fine yesterday. I see. As a first step — have you tried unplugging and reconnecting the device? I tried that, didn't work at all. Okay. Please navigate to Settings and check the device drivers. My device model is HP Pavilion 15. Hope that helps. Yes, please install the update and restart once complete. Fixed! I can't believe it was that simple. Excellent! Glad we got that sorted. Is there anything else I can help with? Nothing else, thanks again!"
1,scam,youtube_scambait,72,118,5,thank you for calling amazon my name is how can i help you hi i had called earlier and you were gonna call me back i'm not sure if you had yet my name is i called you earlier i was driving and i was gonna call you back so i was just calling back to get my um make sure i didn't get charged the 8 99 when did you receive the notification about these charges uh it was sometime overnight overnight yeah and could you please tell me the details that you have received in the overnight um just that i was being charged 8 99 99 for a laptop and i didn't buy that laptop
2,nonscam,technical_support_json,technical_support_2,110,0,"Hi, my wifi keeps disconnecting and I have no idea what to do. Hello! I'm sorry to hear that. Let's fix this together. When did wifi keeps disconnecting start? It began yesterday morning. I haven't changed anything. Understood. First, let's try a full shutdown and restart. Did that help? Multiple restarts — still the same issue. Let's go further. Can you check for any pending system updates? Settings show version 3.1.2. Is that the latest? Perfect. I'll push a driver update remotely — give me a moment. Fixed! I can't believe it was that simple. Wonderful! Don't hesitate to contact us again if needed. All good! Really appreciate your help."
2,scam,youtube_scambait,22,110,0,please hold while we connect you to one of our agents from the fraud prevention team yes i'm from the fraud department team how can i help you today ah hi uh how's it going uh i had a transaction for the john lewis for 345 pounds and i'll be honest we don't even shop at john lewis uh yeah yeah i do i do okay i'm able to get your full name please sir okay nice to meet you sir and am i able to get it nice to meet you sir too thank you sir all right let's get your sort code please okay and the account number
3,nonscam,technical_support_json,technical_support_3,120,35,"Hey, I'm having a technical issue: external hard drive not recognized. Hello! I'm sorry to hear that. Let's fix this together. When did external hard drive not recognized start? It began yesterday morning. I haven't changed anything. Thank you. Can you try clearing the cache and restarting the application? Yes, still happening after the restart. Let me check from my end. Can you provide your device model? My device model is HP Pavilion 15. Hope that helps. Perfect. I'll push a driver update remotely — give me a moment. I followed the steps and everything is back to normal. Excellent! Glad we got that sorted. Is there anything else I can help with? No, that's everything. Thank you so much!"
3,scam,youtube_scambait,124,155,35,well thanks for getting connected to mcafee this is how may i help you hi it's how are you doing sweetie yes uh have a great day ma'am no how uh i'm fine thank you for your asking so are you be in front of your computer right now yes i just turned it on honey i got home from lunch five minutes ago and i'm now now logged into my computer right all right once you see the home screen please let me know okay okay um would you mind calling me mrs because i am married and i'm not comfortable with you calling me by my first name all right have you seen the home screen don't call me by my first name you know here to call me mrs please all right just close your google chrome and pull just close your email and pull up your google chrome miss okay it's
4,nonscam,technical_support_json,technical_support_4,113,2,"Hey, I'm having a technical issue: blue screen of death. Thanks for reaching out. I'll help you sort out blue screen of death. How long has this been happening? About a week ago. I thought it would fix itself but it didn't. I see. As a first step — have you tried unplugging and reconnecting the device? Yes, I restarted multiple times. Same problem. Alright. Let's try running the built-in diagnostic tool. Settings show version 3.1.2. Is that the latest? Yes, please install the update and restart once complete. It's working perfectly now. Thank you! Excellent! Glad we got that sorted. Is there anything else I can help with? Nothing else, thanks again!"
4,scam,youtube_scambait,242,115,2,thank you for calling support you're speaking to how can i help you um hello um i'm calling because i'm getting a message on my computer that says my computer's blocked for security reasons oh well ma'am your voice is breaking up could you please repeat that again okay on my screen in my browser there's a message it says windows defender security center access to this computer is blocked for security reasons and it says to contact microsoft support okay what is the last activity that you're running on that laptop um i was just trying to look up um stencils for for dresses um i'm going to try to pick up sewing okay
5,nonscam,technical_support_json,technical_support_5,127,33,"Hi there. I've been dealing with fan making loud noise for a while now. Thanks for reaching out. I'll help you sort out fan making loud noise. How long has this been happening? About a week ago. I thought it would fix itself but it didn't. Understood. First, let's try a full shutdown and restart. Did that help? Yes, I restarted multiple times. Same problem. Let's go further. Can you check for any pending system updates? My device model is HP Pavilion 15. Hope that helps. That driver error is the culprit. I'll guide you to reinstall it now. Update installed and restarted. It seems to be working now! Great news! Feel free to reach out if the issue returns. No, that's everything. Thank you so much!"
5,scam,youtube_scambait,103,160,33,thank you for getting the naked norton this is here how may i help you today hi my name is my wife uh had called and spoken to a today um with regard to an invoice all right so you want to cancel this subscription and get that even back right last time i used norton was in 2004 we haven't purchased a virus scanner um since then and i don't understand why we're still enrolled might be the internet era sir you got subscribed by mistake no issue for that we are going to cancel the subscription okay and whatever money has been charged you refund you get the refund as well okay great i appreciate that are you sitting in your computer right now yeah i have i have your the invoice open it's it's inside of chrome so i'm going to start the cancellation process open the chrome browser there's a cookies i gotta a accept cookies
6,nonscam,technical_support_json,technical_support_6,108,22,"Good morning. I'm really struggling because software won't install. Thanks for reaching out. I'll help you sort out software won't install. How long has this been happening? It began yesterday morning. I haven't changed anything. I see. As a first step — have you tried unplugging and reconnecting the device? Yes, still happening after the restart. Okay. Please navigate to Settings and check the device drivers. I ran the diagnostic and it says 'driver error detected'. Yes, please install the update and restart once complete. Fixed! I can't believe it was that simple. Great news! Feel free to reach out if the issue returns. Nothing else, thanks again!"
6,scam,youtube_scambait,88,130,22,thank you for calling customer support my name is how can i help you yes i just got home and noticed an email that was in my inbox i'm telling me that i have a seven almost seven hundred 693 93 a bill for a product called mcafee i don't understand why we're paying for this i don't even know what mcafee is okay so it is for your computer do know about it we were told by geek squad that our computer came with free antivirus called windows defender okay so you would like to cancel it yes please that price is almost as much as it as the computer is so i would like to request you to please be in front of your computer so that i'm
7,nonscam,technical_support_json,technical_support_7,105,0,"Good morning. I'm really struggling because printer not detected. Good day! I'm here to help. Let's start — when did you first notice printer not detected? This started after the last system update. Understood. First, let's try a full shutdown and restart. Did that help? Yes, still happening after the restart. Let's go further. Can you check for any pending system updates? My device model is HP Pavilion 15. Hope that helps. Yes, please install the update and restart once complete. I followed the steps and everything is back to normal. Wonderful! Don't hesitate to contact us again if needed. That's all. Thanks a lot!"
7,scam,youtube_scambait,75,105,0,thank you for calling customer support you are talking to how can i help you um hi um i have a message on my screen that says my computer is blocked for security reasons okay and is this happening for the first time on your computer or has it happened prior to this once i've never seen anything like it okay and what were you trying to do on the computer when you got this message links that i i came across one was on facebook and what i clicked on i got this warning i'm not sure what i clicked on to get it
8,nonscam,technical_support_json,technical_support_8,112,7,"I need support. Computer runs very slow and it's causing me a lot of stress. Thanks for reaching out. I'll help you sort out computer runs very slow. How long has this been happening? It began yesterday morning. I haven't changed anything. Thank you. Can you try clearing the cache and restarting the application? Done that already. No change. Alright. Let's try running the built-in diagnostic tool. My device model is HP Pavilion 15. Hope that helps. That driver error is the culprit. I'll guide you to reinstall it now. The driver reinstalled fine. Issue is gone! Great news! Feel free to reach out if the issue returns. Nothing else, thanks again!"
8,scam,youtube_scambait,17,119,7,hello hi how can i help you today sorry i got a mised call from this number i'm not really sure what's about is it the dentist i have an appointment next week no you're calling a national debt helpline we help people for the unsecured debt for free government program well you know what i um i lost my job six months ago and um i haven't been paying my bills so is it something you can help with yes of course so what could be the total debt level that you brought properly on any rough idea like five thousand ten thousand fifteen thousand at the moment uh seven thousand seven thousand pounds right um are you
9,nonscam,technical_support_json,technical_support_9,124,33,"I need support. Microphone not detected and it's causing me a lot of stress. Good day! I'm here to help. Let's start — when did you first notice microphone not detected? About a week ago. I thought it would fix itself but it didn't. Thank you. Can you try clearing the cache and restarting the application? Yes, still happening after the restart. Okay. Please navigate to Settings and check the device drivers. My device model is HP Pavilion 15. Hope that helps. That version is outdated. Let me send you the update link. Update installed and restarted. It seems to be working now! Excellent! Glad we got that sorted. Is there anything else I can help with? No, that's everything. Thank you so much!"
9,scam,youtube_scambait,64,157,33,thank you for calling amazon how can i help you yeah hi um i just received an email from you guys on an order that's actually was supposed to go to a different gentleman so can you please go to your email again i sent you a six digit code again my system got some problems so i'm just calling you from my colleague extension so go to your email and once again confirming the six digit code the code is all right and now go to the text message section of the cell phone and you'll see that link again okay you need to head on approve okay hold on all right sir so i'm having some issue i'm technical some technical issue with my system so what i'm going to i'm going to transfer your call to the senior supervisor on the floor he'll help you in much better way all right his name is
