idx,true,pred,confidence,node,node_score,novel_flag,reason
0,Normal,Normal,80,bank_impersonation,0.4,False,"The customer initiated the call, money moved between their own accounts, and no pressure was applied."
1,Fraud,Fraud,80,,0.0,True,The caller is attempting to elicit sensitive information (passwords) and creating a false sense of urgency with the mention of 'hackers' and 'Russian mafia'.
2,Fraud,Fraud,80,,0.0,True,"The caller is requesting a refund for services already paid, which may be an attempt to extract sensitive information or money."
3,Fraud,Fraud,80,,0.0,True,"The call is attempting to elicit a response from the customer, potentially leading to further manipulation or exploitation."
4,Fraud,Fraud,80,,0.0,True,"The customer service representative is being overly aggressive and pushy in trying to confirm the charge, which suggests they may be trying to manipulate the customer into confirming a legitimate transaction."
5,Fraud,Normal,80,refund_scam,0.4,False,"The customer initiated the call and is seeking clarification on an unsolicited invoice, which aligns with a legitimate customer service interaction."
6,Fraud,Fraud,80,,0.0,True,The caller is trying to manipulate the customer into taking action without verifying their identity or providing any evidence of a technical issue.
7,Normal,Fraud,80,bank_impersonation,0.4,False,"The call exhibits unsolicited contact and money flowing away from the customer to a third party, matching the defining behaviours of bank impersonation scams."
8,Normal,Normal,80,bank_impersonation,0.4,False,"The customer initiated the call, and the bank verified the customer's address before sending a new checkbook to their own account."
9,Fraud,Fraud,80,,0.0,True,The caller is attempting to manipulate the customer into revealing sensitive information and performing an action that may result in unauthorized access or financial loss.
10,Fraud,Fraud,80,,0.0,True,"The caller is attempting to manipulate the customer into extending a warranty, which may not be necessary or legitimate."
11,Normal,Normal,80,bank_impersonation,0.4,False,"The customer initiated the call, and money/codes/data are moving within their own account, matching the legitimate version of this interaction."
12,Fraud,Fraud,80,,0.0,True,The caller is attempting to manipulate the customer into revealing access to their computer and potentially installing malware.
13,Normal,Fraud,80,bank_impersonation,0.4,False,"The call exhibits unsolicited contact and money flowing away from the customer to a third party, matching the defining behaviours of bank impersonation scams."
14,Normal,Normal,90,bank_impersonation,0.4,False,"The customer initiated the call, and a new checkbook was sent to their own account without any pressure or suspicious activity."
15,Fraud,Fraud,80,,0.0,True,The caller is being manipulated into revealing sensitive information about their account and the company's representative is using high-pressure sales tactics to convince them to continue a subscription they don't remember signing up for.
16,Normal,Fraud,80,bank_impersonation,0.4,False,"The caller initiated contact and asked for a payment to be sent to a third party, which is a defining behavior of bank impersonation scams."
17,Fraud,Fraud,80,,0.0,True,"The customer is being asked to verify an unauthorized order and provide invoice information, which could be used for identity theft or financial manipulation."
18,Normal,Fraud,80,bank_impersonation,0.4,False,"The caller initiated contact and asked for payment to be made to a third-party company, Fossil Gas, which matches the defining behaviours of bank impersonation scams."
19,Fraud,Fraud,80,,0.0,True,"The caller is being led through a series of questions to gain access to their computer, and the support representative is trying to confirm their name without providing any clear information about what they can do to help."
20,Normal,Normal,80,bank_impersonation,0.4,False,"The customer initiated the call, and money is moving within their own account, matching the legitimate version of this interaction."
21,Fraud,Fraud,80,,0.1,True,The caller is attempting to manipulate the victim into investing in a suspicious business opportunity without providing any details or evidence.
22,Fraud,Fraud,90,tech_support,0.4,False,"The call exhibits unsolicited contact, impersonation, and pressure, matching the defining behaviours of a fake technical support scam."
23,Fraud,Fraud,80,,0.0,True,The support representative is asking for sensitive information (last activity on the laptop) without verifying the customer's identity or providing a clear solution to the issue.
24,Fraud,Fraud,80,,0.0,True,"The caller is claiming a refund for a mis-sold PPI claim, which may be an attempt to manipulate the customer into revealing sensitive information or sending money."
25,Fraud,Fraud,80,tech_support,0.4,False,"The caller initiated unsolicited contact and asked for sensitive information (name, email) to perform an action that is not a typical reason for contacting Microsoft support."
26,Fraud,Fraud,80,,0.0,True,The caller is asking for sensitive information (name) and the company's representative is already investigating a transaction without the customer's request.
27,Fraud,Fraud,80,,0.2,True,"The customer is being manipulated into paying for a service they don't remember signing up for, and the support agent is not providing clear information about their account or subscription."
28,Normal,Fraud,80,bank_impersonation,0.4,False,"The call exhibits unsolicited contact, impersonation, and money flowing away from the customer to a third party (smart electic), matching the defining behaviours of bank impersonation scams."
29,Normal,Fraud,80,bank_impersonation,0.4,False,"The caller initiated contact and requested action, which is a defining behaviour of bank impersonation scams."
30,Fraud,Fraud,80,,0.0,True,The caller is trying to gain access to the computer and manipulate the user into doing something that could compromise their security.
31,Fraud,Fraud,80,,0.0,True,The caller is asking for sensitive information (medication name) and attempting to sell a product without being explicitly requested by the customer.
32,Normal,Normal,80,,0.0,True,"The call appears to be a legitimate customer service interaction between Robert Johnson and Harper Valley Bank, where he is paying an electric bill."
33,Normal,Fraud,80,bank_impersonation,0.4,False,"The caller initiated contact and provided a phone number, which is not typical of legitimate bank interactions where customers initiate calls and banks verify their identity."
34,Fraud,Fraud,80,refund_scam,0.4,False,"The caller initiated contact, claimed to be an Amazon representative, and requested remote access to cancel a transaction, which matches the defining behaviours of a fake refund/overpayment scam."
35,Fraud,Fraud,80,government_tax,0.4,False,"The caller initiated unsolicited contact and asked for sensitive information (name, zip code) without providing any context or evidence of a legitimate issue."
36,Normal,Normal,90,bank_impersonation,0.4,False,"The customer initiated the call, money moved between their own accounts, and no pressure was applied."
37,Normal,Normal,90,bank_impersonation,0.4,False,"The customer initiated the call, money moved between their own accounts, and no pressure was applied."
38,Fraud,Fraud,90,tech_support,0.4,False,"The caller initiated unsolicited contact, impersonated Microsoft, and requested payment via card over phone, matching the defining behaviours of a fake technical support scam."
39,Fraud,Fraud,80,,0.0,True,"The caller is trying to gain access to the victim's computer by asking them to follow instructions, which could be a phishing attempt."
40,Normal,Normal,80,bank_impersonation,0.4,False,"The customer initiated the call, and the bank verified the customer's identity before sending a replacement card, matching the legitimate version of this interaction."
41,Fraud,Fraud,80,,0.0,True,"The caller is trying to verify suspicious activities on the customer's PayPal account, which may be a tactic to gain access or manipulate the customer into revealing sensitive information."
42,Fraud,Fraud,80,,0.1,True,"The caller is attempting to manipulate the victim into revealing personal information and creating a sense of urgency, which are common tactics used in scams."
43,Normal,Fraud,80,,0.0,True,"The caller initiated a transfer without the customer explicitly requesting it, which could be a tactic to manipulate the customer into sending money."
44,Normal,Normal,90,bank_impersonation,0.4,False,"The customer initiated the call, money moved within their own accounts, and no pressure was applied."
45,Fraud,Fraud,80,,0.0,True,"The customer service representative is trying to gain remote access to the victim's computer, which could be used for malicious purposes."
46,Fraud,Fraud,80,refund_scam,0.4,False,"The caller initiated unsolicited contact, impersonated Amazon, and requested remote access to process a refund, which matches the defining behaviours of the Fake refund / overpayment scam pattern."
47,Fraud,Fraud,80,refund_scam,0.4,False,"The caller initiated contact, impersonated PayPal support, and requested remote access to cancel charges, which matches the defining behaviours of a fake refund/overpayment scam."
48,Normal,Normal,90,bank_impersonation,0.4,False,"The customer initiated the call, money moved between their own accounts, and no pressure was applied."
49,Normal,Normal,80,bank_impersonation,0.4,False,"The customer initiated the call, and the conversation does not exhibit any of the defining scam behaviors, such as pressure or money/codes/data flowing away from the customer."
50,Normal,Normal,90,bank_impersonation,0.4,False,"The customer initiated the call, money moved between their own accounts, and no pressure was applied."
51,Normal,Normal,80,bank_impersonation,0.4,False,"The customer initiated the call, and the password reset link was sent to their own phone number, matching the legitimate version of this interaction."
52,Fraud,Fraud,80,,0.0,True,"The caller is asking for remote access to the customer's computer, which could be a phishing attempt."
53,Fraud,Fraud,90,tech_support,0.4,False,"The call exhibits unsolicited contact, impersonation, and pressure to contact a third-party support number."
54,Normal,Fraud,80,bank_impersonation,0.4,False,"The call exhibits unsolicited contact and money flowing away from the customer to a third party, matching the defining behaviours of bank impersonation scams."
55,Fraud,Fraud,80,bank_impersonation,0.4,False,"The call exhibits unsolicited contact and impersonation, with the caller asking for verification of a transaction without customer initiation."
56,Fraud,Normal,80,refund_scam,0.4,False,"The customer initiated the call and is seeking assistance with a legitimate concern, without any pressure or attempt to extract money or data."
