idx,true,text,length,bow
0,Normal,스포츠 중에서 어떤 종목을 조금 좋 좋 좋아하시는지요? 대부분의 여성이 스포츠를 그다지 좋아할 거라고 생각은 안 하는데 그건 저의 생각일지도 모르지만 제가 그나마 요즘에 즐겨보고 있는 건 배구예요. 왜냐면 옛날에는 배구를 그렇게 좋아하지 않고 배구가 다른 스포츠에 비해서 굉장히 정적이고 신사적인 스포츠잖아요. 근데 결혼하고 나서 우리 시아버님이 배구를 굉장히 좋아하세요. 그래가지고 배구를 항상 할 때 보면은 특히 배구도 남자 배구가 있고 여자 배구가 있는데 여자 배구는 또 그렇게 재미가 없더라고요. 여자 배구에 흥미가 가기 시작한 건 그~ 김연경 선수가 그~ 언젠가 올림픽 때 그~ 식빵 언니로 되게 유명해졌잖아요. 욕을 해가지고 그러면서 티브이 예능 프로라든가 이런 거에 나와서 그때 좀 관심을 갖게 됐고 남,Fraud,Normal
1,Normal,형님은 이제 지금 기사를 읽고 어떻게 생각하는지 알고 싶습니다. 일단 지금 앞에 또 여성 분이 계셔가지고 이게 참 위험 발언인 것 같은데 난 일본하고 일본을 무조건적으로 싫어해야 된다 라고 뭔가 이런 어떤 반일 불매운동을 하고 하는 것들을 솔직하게 난 이해를 잘 못하겠어. 왜 그래야 되는지도 모르겠고. 어쨌든 지금은 2020년이고 이~ 지난 과거를 잊으면 안 되는 건 맞는 거고. 당연히 근데 우리가 잊어야 되는 건 잊지 말아야 되는 건 쟤네들이 우리들한테 쳐들어왔어 그러니까 쟤는 나쁜 놈이야가 아니라고 생각해. 나는 내가 우리가 진짜 잊지말아야 되는 건 우리나라가 힘이 없었고 그래서 일본이 우리나라를 점령 뭐지 그~ 일정 강 강점기 막 30년이 되는 어떤 그런 식민지에 놓여져 있었고. 근데 그거는 그러니까 ,Fraud,Normal
2,Normal,agent: hello this is harper valley national bank my name is mary how can i help you today caller: hi caller: my name is john jones caller: i would like to transfer money between my accounts agent: sure i can help you with that what is the uh what is the transfer amount caller: the amount is fifty nine dollars agent: fifty nine dollars okay what is the source of the account caller: my savings accou,Fraud,Normal
3,Normal,caller: [noise] caller: my name is david <unk> agent: [noise] agent: hello this is harper valley national bank my name is patricia how can i help you today caller: hi my name is david garcia what are the local branch hours caller: [noise] caller: [noise] agent: um agent: <unk> branch hours are from nine thirty a m to agent: five p m caller: okay thank you agent: thank you for calling have a great ,Fraud,Normal
4,Fraud,"여보세요? 네, 여보세요. 네. 네, 안녕하세요. 여기는 현대저축은행 자금회수팀에 OOO팀장입니다. 네네. 네, 전화받으시는분 성함이 OOO 맞으신가요? 네 맞습니다. 네, 안녕하세요. 전화드린건 다름이 아니고요, 네네. 은행측에서 일시상환 요청이 들어와서 연락드렸습니다. 네네. 고객님 혹시 국민은행을 통해서 상환을 하신다고 요청협조 해주신 선례가 따로 어떻게 되실까요? 아~저, 좀 아는분인데요. 아 네네. 네, 저 고금리 사용하지 말라고 해서요 상환할려고 해요 아 그 알고계시는분이 국내 은행쪽에 종사하고 계시는 직원 분이신가요? 네네. 아 그러신가요, 알겠습니다. 안내받기로는 5월 19일 금요일 날짜로 자금받아보신 부분, 2300만원 전액 완납상환 하신다고 안내 받았는데요. 네네. 이 부분 맞으신가요? 네",Fraud,Fraud
5,Normal,예. 제 경우는 음~ 아르바이트를 한 3년간 정도 해왔는데요. 그 전엔 제가 자영업을 했었고요. 그~ 여러 종류의 아르바이트를 해왔습니다. 그~ 지금 현재는 동작구청에서 아르바이트를 하고 있고 그동안 한 제가 해봤던 아르바이트 종류가 한 2 30가지 정도 는 돼 될 정도로 다양했는데요. 그중에서도 인상에 남는 아르바이트가 뭐였냐면은 어~ 흔히 그~ 꿀 알바라고 조금 불르는데 그~ 피부 임상이라는 아르바이트가 있습니다. 그거는 하루 나가서 하는 것도 있고 일주 그~ 한 3 4일 정도 나가가지고 그~ 자외선 검사 한다 그래가지고 등에다 태닝하는 거. 그건 아주 꿀알바 였습니다. 제게는 다 하루 나갔을 때 한 8 90000원 받고 한 3 4일 나가면 한 시 150000원에서 180000원 정도 받는 건데 인제 등,Fraud,Normal
6,Fraud,hello can you hear me hello hello ma'am how may i help you today hi i was yeah i got a i got a message on my computer i was talking to all right well i do apologize for that may i know what were you doing at the time when you got this message on the computer i was on something called wikipedia it's a i guess it's a new website where i got it i don't have to buy encyclopedias all of the things abou,Fraud,Fraud
7,Normal,agent: hello this is harper valley national bank uh my name is david how can i help you today caller: hi my name is mary rodriguez and i lost my credit card i wanted to see if you can send me a new one in the mail agent: yes i can definitely do that um <unk> was this a credit card or a debit card caller: a credit card agent: okay i have one on its way is there anything else i can do for you caller,Fraud,Normal
8,Normal,그때 당시 문재인 대통령을 안 좋게 봤는데 조금 우유부단한 거 같고 이렇게 추진력도 약한 거 같고 근데 요번에 그~ 최저임금 그거에 대해서는 너무 어이가 없었어요. 근데 제일 요즘에 이슈되는 게 코로나 그 코로나 발생한 이후로 문재인 대통령이 한참 상승률 이 올라갔었는데 요번에 또 뭘로 떨어졌는데 갑자기 부동산 때문에도 난리고 근데 우리나라 정책 바뀔 때마다 정권 바뀔 때마다 항상 그 얘기는 나오는 얘기니까 문재인 대통령이 제일 잘한 일은 정말 코로나 때 대처를 너무 잘해 준 거 같아요. 그리고 지금까지도 그거에 대해서 으뜸이라고 얘기를 하니까 의료 의료 정책이라든가 이런 거는 되게 마음 편하게 우리가 누리고 지금 있는 거 같은데 일자리 정책도 처음에 음~ 문재인 대통령이 공약으로 많이 내노셨는데 진짜 잠깐,Fraud,Normal
9,Normal,agent: [noise] hello this is harper valley national bank my name is elizabeth how can i help you today caller: mm hmm caller: hi my name is mary smith caller: i would like to schedule an appointment agent: what day would you like for your appointment agent: um caller: um caller: sunday agent: [noise] agent: [noise] [noise] [noise] agent: what time would you like for your appointment caller: eight ,Fraud,Normal
10,Normal,결혼 전에 부모님과 1남 3녀 로 막내 1남 3녀 중의 막내로 여섯 명을 이룬 가정이었는데 우리 가족은 엄마 아빠는 늘 새벽 깜깜할 때 나가셔서 어 증조할머니가 계셨어요. 증조할머니 그리고 할아버지도 계셨고 제가 어렸을 때 초등학교 다닐 때까지는 그렇게 총 여덟 명이었는데 엄마랑 아빠는 살기 위해서 이 가정을 일으키기 위해서 없이 자란 분들이시라 벌어야 한다는 생각이 강하셔서 자녀들의 양육보다 돈이 우선 순위가 돼서 깜깜할 때 나가서 어두워야 들어오시는 분들이었어요. 할머니 진 증조할머니 손에 자랐고 그렇게 그렇게 자라 왔고 음~ 형제 형제 관계도 서로 서로 우애있게 잘 지냈고. 또 1남 3녀 세 자녀 자매가 세 명이다 보니까 음~ 어렸을 때는 몰랐는데 크고 보니 자매가 많은 건 너무 좋더라고요. 내가 오빠,Fraud,Normal
11,Normal,혹시 예전에 아르바이트 하신 적 있으세요? 저는 대학교 1학년 때부터 알바를 계속했거든요. 그냥 뭐 딱히 이유가 있거나 그런 건 아닌데 그냥 엄마가 주는 용돈만으로 내가 먹고 싶은 대로 술을 못 먹겠어가지고 알바를 계속하고 계속 뭘 사 먹고 놀러 다니고 이렇게 한다고 알바를 진짜 많이 했어요. 근데 많이 했는데 종류를 많이 한 건 아니고 제일 처음에 해봤던 거는 파리바게뜨에서 알바 잠깐 해봤고 그 뒤로는 카페 관련 쪽에서 카페를 세 군데 이렇게 해봤고요. 그거 말고 진짜 단기로 하는 거 이거는 진짜 해보신 분들 얼마 없을 건데 그~ 세금 내는 거 있잖아요. 세금 내는 거 근데 사업자들이 1년에 두 번 세금을 내요. 부가세 신고를 하거든요. 그걸 신고하는 거 국세청에서 이거 알바를 모집해가지고 그냥 한 2주 ,Fraud,Normal
12,Normal,agent: hello this is harper valley national bank my name is david how can i help you today caller: hi my name is john jones caller: i would like to schedule an appointment agent: what day would you like your appointment caller: sunday agent: what time would you like for your appointment caller: two forty five p m agent: your appointment has been scheduled for sunday at two forty five p m agent: is,Fraud,Normal
13,Normal,agent: hello this is harper valley national bank my name is linda how can i help you today caller: hi my name is mary rodriguez caller: and i've lost my credit card can you send me a new one agent: which card would you like to replace caller: my credit card please agent: your credit card agent: alright i've ordered you a new card is there anything else i can help you with caller: no that was all i,Fraud,Normal
14,Normal,agent: hello this is harper valley national bank my name is david caller: hello my name is elizabeth johnson agent: how can i help you today caller: like to schedule an appointment for friday at four thirty pm agent: the day you want the appointment was friday caller: yes caller: [noise] agent: and can you repeat what time you would like the appointment caller: four thirty pm agent: oh caller: mm ,Fraud,Normal
15,Normal,agent: hello this is harper valley national bank my name is linda how can i help you today caller: hi my name is robert wilson and i would like to reset my password agent: what is your phone number caller: um my phone number is two nine zero caller: two three one caller: two five caller: one eight agent: your pass~ excuse me your password reset link has been sent to your phone is there anything el,Fraud,Normal
