idx,true,length,bow,llm_only,singh,webrag
0,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
1,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
2,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
3,Normal,Fraud,Normal,Fraud,Fraud,Fraud
4,Normal,Fraud,Normal,Normal,Fraud,Fraud
5,Normal,Fraud,Normal,Normal,Normal,Normal
6,Normal,Fraud,Normal,Normal,Fraud,Normal
7,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
8,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
9,Normal,Fraud,Normal,Normal,Fraud,Normal
10,Normal,Fraud,Normal,Normal,Fraud,Normal
11,Normal,Fraud,Normal,Fraud,Normal,Normal
12,Normal,Fraud,Normal,Normal,Normal,Normal
13,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
14,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
15,Normal,Fraud,Normal,Fraud,Normal,Normal
16,Normal,Fraud,Normal,Fraud,Normal,Normal
17,Normal,Fraud,Normal,Normal,Normal,Normal
18,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
19,Normal,Fraud,Normal,Normal,Normal,Normal
20,Normal,Fraud,Normal,Normal,Fraud,Normal
21,Normal,Fraud,Normal,Fraud,Normal,Normal
22,Normal,Fraud,Normal,Fraud,Fraud,Normal
23,Normal,Fraud,Normal,Normal,Fraud,Fraud
24,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
25,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
26,Normal,Fraud,Normal,Fraud,Normal,Normal
27,Normal,Fraud,Normal,Fraud,Normal,Normal
28,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
29,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
30,Normal,Fraud,Normal,Normal,Normal,Normal
31,Normal,Fraud,Normal,Normal,Normal,Normal
32,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
33,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
34,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
35,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
36,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
37,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
38,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
39,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
