pair_id,topic,id,label,source,text
p056,purchase_query,s_56,scam,youtube_asr,thank you for calling [Company] my name is how may i help you hello how are you i m good thanks [Title] thanks for asking me how are you doing today [Title] i m doing fine thanks alright so how come how can i help you [Title] um i got a message about a charge all right [Title] i just give a check in our database and i found that there is a purchase of an iphone 11 pro max which is cost of [Number] dollars from beeching ohio so do you know anyone from beeching ohio [Title] oh no i don t all right [Title] so if you haven t made this purchase so now what i am gonna do i will just simply help you to secure your account you need to
p022,unrecognised_card_transaction,s_22,scam,youtube_asr,please hold while we connect you to one of our agents from the fraud prevention team yes i m from the fraud department team how can i help you today ah hi uh how s it going uh i had a transaction for the john lewis for [Number] pounds and i ll be honest we don t even shop at john lewis uh yeah yeah i do i do okay i m able to get your full name please [Title] okay nice to meet you [Title] and am i able to get it nice to meet you [Title] too thank you [Title] all right let s get your sort code please okay and the account number
p002,broadband_line_fault,s_1,scam,youtube_asr,[Greetings] this is british telecom technical department we are hereby to inform you that your internet line will be terminated from today onwards to fix up the problem please press one to connect with [Company] thank you for your response we would now like to transfer you to a team [Title] for just a few more questions please stay on the line hello hello yes i had a call about my broadbrand my internet line
p079,business_invoice_query,s_79,scam,youtube_asr,thank you for calling [Company] securities how may i help you um i m calling because i have a a [Company] invoice for [Company] [Number] it s being charged [Number] we only use our [Company] for emergencies and for us to be charged on my emergency this is not [Company] this is [Company] security so the payment method is doesn t matter just confirm me what would you like me to do with this auto renewal i need to cancel and get my money back if i m being charged all right so right now what we will be doing we will be going ahead and canceling the order for you okay open up your [Company] chrome internet browser on your computer so it is personal computer help 24 7 dot info and you need to give
p065,security_awareness_call,s_65,scam,youtube_asr,so [Title] my name is and i m from the cyber security department right now how are you doing today good so right now so what exactly is happening there are these hackers they re having their a bunch of devices being connected with your [Company] account and with your personal informations right now and also we got to know the root cause of this problem the root cause of this problem is your ip address do you know what ip address stands for or what exactly it is no the ip address is something which is connected with your wi fi which is attached with your wi fi and the full form the of ip address would be internet protocol address all right okay how do i fix that well right now how we can fix that we
p007,tax_correspondence_followup,s_6,scam,youtube_asr,[Greetings] this is a final warning from inland revenue with [Company] regarding a criminal prosecution on your name urgently call us back on three three zero zero zero one zero two and for your arrest and your warrant number is wc wc4589 as there is a legal case going to be filed against your name now before the case is sent for execution and you receive the legal course of notification you can call the [Company] on [Number] [Number] i need you or your retained solicitor of record to call us back the issue at hand is extremely time sensitive this is [Title] from hm revenue and customs the hotline to my division is
p040,bank_transaction_check,leg040,nonscam,authored_counterpart,yes hi hi hello am i speaking to yes speaking yes hi [Title] this is calling from [Company] about a couple of card payments from this morning uh oh okay so there were two payments in a row at the same shop and our system flags that sometimes uh yes that was me i went back in because i forgot something have it that explains it then the card is still working normally and both payments have gone through i ll clear the flag off the account
p007,tax_correspondence_followup,leg006,nonscam,authored_counterpart,[Greetings] this is [Company] following up on the letter we sent about your tax account the reference on that letter is [contact number] uh yeah i have that this morning right so it s simply asking you to confirm some figures from last year there s no penalty and nothing is being escalated you can respond through your online account or post the form back the address is on the letter if you would rather speak to someone you can ring the main contact number and quote that reference we won t ask for bank information or passwords at any point
p064,misdirected_order_email,leg064,nonscam,authored_counterpart,thanks for calling [Company] how can i assistance you yes hi um i simply received an email from you about an order that was supposed to go to a different gentleman uh right can i take the order contact number from the email yes it s [contact number] thanks let me check at ah yes the email address on that order is one character different from yours so it s gone to the wrong inbox uh so it s not mine no it isn t i ve corrected the address on our side you can delete the email you have
p035,computer_shutdown_message,leg035,nonscam,authored_counterpart,thank you for calling support my name is can i assistance you this day i ve have a note on my screen and it says my computer s being shut down uh what were you doing on the computer when you have that i was simply browsing alright uh does the note have a countdown on it yeah it does right that ll be a windows update finishing off it does that sometimes let it restart on its own and it should come back fine you don t need to do anything and i m not going to ask you to install anything
p002,broadband_line_fault,leg001,nonscam,authored_counterpart,[Greetings] this is [Company] technical department you logged a fault about your broadband the previous day is that right yes my internet line keeps dropping out okay let me have a check uh right i can see the fault on our system here there s a problem at the exchange affecting your area we ve have an engineer scheduled for [contact number] no you don t need to do anything at your complete and there s nothing to make the payment for this hi hi yes sorry i m still here yes so that s all booked in you ll receive a text confirming it if it s still dropping out after that day give us a ring back on the contact number on your bill
p093,appointment_followup,leg093,nonscam,authored_counterpart,[Greetings] welcome to [Company] how can i assistance you this day this is we were supposed to meet this day and you ve reached home again yeah i m back home all right so i m simply following up on the appointment you missed this morning uh yeah sorry something came up that s no issue at all shall we rebook it uh yeah if you could what have you have the earliest is [contact number] or there s one afterwards that week uh the first one is fine that s booked
p016,parcel_redelivery,s_16,scam,youtube_asr,you reached the department of national crime agency how can i help you my name is so i mean i got a message saying that i have some problems with the my national insurance number uh when did you receive the call yesterday okay and first of all let me introduce myself my name is [Title] season charlie is in alpha [Number] i would like to ask you did you received any reference number
p083,blocked_message_calm,leg083,nonscam,authored_counterpart,thanks for calling the support team this is how may i assistance you this day hi i have a strange note on my screen saying my computer s been blocked due to security reasons all right let s take a check together uh is the mouse still moving normally yes it is good so the machine itself is responding which means it isn t locked the page is simply filling the screen press escape then close the tab and you should be back to normal
p085,plan_expiry_invoice,leg085,nonscam,authored_counterpart,[Greetings] thank you for calling [Company] my name is how can i assistance you hello um i have an invoice this day saying my previous plan expired and i ve been moved onto a new one uh yeah that s right the old plan was retired at the finish of [contact number] and everyone on it moved across uh i didn t agree to that you can move to a cheaper tier or cancel altogether from the account page under plans the first month on the new one is not charged
p008,it_helpdesk_callback,leg007,nonscam,authored_counterpart,[Greetings] [Title] my name is i m calling from [Company] [Product] support you raised a ticket with us the previous day about your computer okay yes i did right so the ticket says the machine is running slow and freezing is that still happening uh yes it is right so what i d suggest first is a restart and then check at whether the updates have installed you can do that yourself from the settings menu i don t need to connect to your machine if that doesn t sort it we can book you in at the store and someone can check at it properly
p080,confusing_invoice,leg080,nonscam,authored_counterpart,thank you for calling support how can i assistance you hello um i have an email with an invoice for [contact number] and i m really confused uh no issue let s work it out could i take the reference from the top yeah it s [contact number] thank you that ll bring it up right so this is the annual renewal for the software you bought last year it renews on the same date each year uh i thought it was a one off it was sold as an annual plan the option to stop it renewing is in your account
p019,broadband_upgrade_offer,s_19,scam,youtube_asr,[Greetings] mr how are you doing today fine i m great who is this uh this is you know you have talked to me in previous time about your ppi compensation so what what do i need to do for this ppi uh compensation you know you have to complete your uh confirmation we need your sort code account number for verification you said that call me after some time i will do that that s why we are calling you oh please help me with your sort code account number of course for depositing the compensation how much would be the compensation again your full compensation is let me check
p068,locked_computer,s_68,scam,youtube_asr,thank you for calling support you are talking to saw may i help you yes my computer has been locked down i need help i ll help you out [Title] for sure sorry for that inconvenience let me explain you let me explain you something here very quick [Title] hackers somehow they get in your computer and they have installed so many harmful viruses over there with the help of that they are trying to get in your ip addresses everything has been compromised and that is the only reason [Title] you are not allowed to make any calls because you re lying to your networks everything has been compromised or hacked okay so can you tell me that which bank are you dealing with [Title] what s the name of your bank so i can mention it in your file
p023,subscription_auto_renewal_notice,s_23,scam,youtube_asr,[Greetings] this is a call from [Company] to inform you that your [Company] prime account will be auto renewed for 79 99 from your bank account so enjoy using [Company] prime services or if you wish to discontinue or unsubscribe services then speak to our [Company] service [Title] by pressing one
p003,identity_document_renewal,leg002,nonscam,authored_counterpart,[Greetings] this ring is from [Company] the purpose of this ring is to let you know that the identity document you applied for has been processed and is ready for collection you can pick it up from any of our offices during opening hours and you will need to bring photo identification with you there is nothing further to make the payment we will not ask you for any details over the telephone if you have questions the contact number is on our website
p027,broadband_maintenance_notice,leg027,nonscam,authored_counterpart,[Greetings] this is [Company] we are carrying out planned maintenance on the broadband in your area and your service may drop out for a short time on [contact number] uh will i lose it for long no it should only be an hour or so and you don t need to do anything at your finish if it hasn t come back by the evening give us a ring on the contact number on your bill i m not asking you for any information this is simply a heads up
p043,refund_already_processed,s_43,scam,youtube_asr,[Greetings] this is a call about the refund money that you have paid to our company for your computer services and protection now we are refunding it back as we will no longer be able to provide you any more services to your computer so please press one to connect to our refund executive
p041,service_ending_notice,s_41,scam,youtube_asr,we won t be able to provide any further technical services to your computer we kindly request you to reach us at so that we can process the refund for the services that you have paid thank you
p033,unexpected_invoice,s_33,scam,youtube_asr,yeah hi [Title] this is a call back from the [Company] help desk we just received a call how may i help you today yeah um i ve got an invoice here and it s i haven t ordered [Company] and i don t know why i m getting the invoice go with the go support now com you just have to type in over there
p037,network_security_notice,leg037,nonscam,authored_counterpart,dear customer we are calling about the router on your account which needs a firmware update to stay secure the update installs by itself overnight and your connection may drop for a few minutes while it does you don't need to do anything and there is no charge we will never ask you to log in to your email or banking if you have questions the contact number is on your bill or you can note us through the app
p019,broadband_upgrade_offer,leg019,nonscam,authored_counterpart,[Greetings] this is [Company] calling about your broadband package we ve have a faster package available on your line at no extra price for the first six months uh right so what s the catch there isn t one after six months it goes to the standard price which is on our website you can also stay on your current package if you prefer i m not going to take any payment or account information on this ring if you want it you can switch through your online account or ring the contact number on your bill whenever suits
p064,misdirected_order_email,s_64,scam,youtube_asr,thank you for calling [Company] how can i help you yeah hi um i just received an email from you guys on an order that s actually was supposed to go to a different gentleman so can you please go to your email again i sent you a six digit code again my system got some problems so i m just calling you from my colleague extension so go to your email and once again confirming the six digit code the code is all right and now go to the text message section of the cell phone and you ll see that link again okay you need to head on approve okay hold on all right [Title] so i m having some issue i m technical some technical issue with my system so what i m going to i m going to transfer your call to the senior supervisor on the floor he ll help you in much better way all right his name is
p062,invoice_query,s_62,scam,youtube_asr,[Greetings] [Company] yeah thank you for calling people how can i help you um i got a um i got a invoice or something that i owed [Number] but i haven t bought nothing okay [Title] as i can understand that you didn t purchase anything like bitcoin or anything like cryptocurrency right no did you did you authorize to anybody no then i will help you out of this problem just confirm your memo id you ll help me yeah i am i will explain each and everything so what happened to exactly right now just hold on [Title] first thing can you please confirm me like one one thing have you ever shared any personal details to anyone like your any family member or any family friend
p040,bank_transaction_check,s_40,scam,youtube_asr,yes hello hello hey am i speaking to yes speaking yeah hi [Title] this is i m calling you from the network terminal departmenti m just worried about transactions yeah yeah don t worry we are here to help you out
p081,blocked_message_read_out,s_81,scam,youtube_asr,thank you for calling support how may help you hi um i have a strange message on my screen it says access to my device has been blocked for security reasons and can you just read it out for me what exactly see on your computer screen right now well it says [Company] security warning access to this scammer this or uh computer is blocked for security reasons block for your computer sorry it says your computer has been reported to be infected with a trojan spyware says there s a scanner it s a scanner in the upper left hand corner i don t know what it s scanning all right no problem can you just help me out your name for the customer security purpose yeah my name is my last name is
p034,order_billing_query,s_34,scam,youtube_asr,[Greetings] this is from [Company] customer service we have seen a recent order number amz [Number] of iphone 11 pro on your account which is built on your card attached to your [Company] account the amount charged is [Number] we noticed some suspicious activity on your account so we have put in hold to the transaction please press one now and to report press two
p023,subscription_auto_renewal_notice,leg023,nonscam,authored_counterpart,[Greetings] this is a ring from [Company] to let you know that your [Company] account will auto renew for [contact number] on [contact number] from the card you have on file uh oh i didn t realise that s okay you can alter or cancel it yourself in the account settings under subscriptions it takes a minute uh do you need my details for that no i don t need anything from you this is only a reminder so we don t take you by surprise if you would rather keep it going you don t have to do a thing
