id,label,source,text
177,scam,youtube,yeah your for with us how can I you you 're have to you for some I ca n't what you 're but the of your has been so you to you to our you can your you will your if you 're not to to to me with what I 'm that 's the that we are you is this I ca n't what you 're I do n't to my yes I 'm me me me what 's on me what 's on I your of I that you can do you like you and in our the the of but the is that the has been
304,nonscam,harpervalley,this is my is how can you my is rodriguez how can you a and what is the that you would that to my is 's how do on that that 's it 's in and it 's is that are you there uh that will be to that is can you with no thank you for and you have a bye
207,scam,youtube,this is I a from this you could not me how may I you can you me yes can you me are you with I 'm about that 's a that 's on are you with this is we for how can I you oh I have me never you okay so I I was on the you the and I I there was a on the it was me that to my was and and for the of me I ca n't out why because no I 'm I my for the be I 'm I 'm because I the the I it I do n't until the but it my is and I do n't why and would you out the you have on your it it and to this has been for and to and if I it does n't do uh what was the you were to do on the
286,nonscam,harpervalley,this is my is how can you and would to between my and how would you like to um a and and will me or would to it from my to my 's okay is can do for you no that 's all for you for your you have a you you bye for
291,nonscam,harpervalley,this is my is how can you my is would to my 'm to you with that and what is your my is can you the of your your has been to your is can you with that was all you for have a you
104,scam,youtube,you for and this is how are you it 's it 's I from I off my you can me out with my okay it might be as I you as you do not have any was it that 's a of oh my what can we do all so what I 'll do I 'll of all do I of all I 'll your so we are na we have to you the that is and this me a of and a I 'm to this down of all could you on your so you to up your your there are in the is as the
163,scam,youtube,and how may I you I an to you a can you me your so that I can and out your yeah me yeah how are you doing I was until I this can you a of so I can and you some you can it down on of all down my my is is my my is why do I all this for the behind this is to you that there is a is being on your by and in a because you did n't your that 's the and how has this been on for
169,scam,youtube,you for you 're with how may you a from you it and it out do you have a for the do n't as it and it out can you me with your it 's can you your would your of and for the yep it 's and your did you you 're from your has been to from what 's it what 's it what 's this me to up all the on my so that 'll be at the to you like what is the all about all we were to you that the has been against your to and
58,scam,youtube,you for this is how may I you ? was to or or . Yeah there is a for on your have you this or not because this is a have you this or not ? Uh no can I to because he my . ? can I to him because he my
103,scam,youtube,you for the this is how may I you my is my had and to a with to an so you to this and that I was in we have n't a since and I do n't why we 're might be the you by no for that we are to the and whatever has been you you the okay I that are you in your I have I have your the it 's it 's inside of so I 'm to the the there 's a I a
101,scam,youtube,yes this is for all this is you to your I I 'm on on the okay how 's your it 's why we you from to the on and you the is the a in your okay it 's there
125,scam,youtube,you for how can I you I 'm a on my that to this has been for oh are you doing on the when this yes I was at and I across a that was on a me you why the your has been out because you 're on the there will be some of a that is it is an which is over the to your and which has been your that 's why the has you the you must to the that we are do n't about I can you like you what you 're about may I have your
427,nonscam,harpervalley,this is my is how can you uhm to a could you that a a what is your oh my is what is your yes it 's in is the is can you with no that 's all that 's all you you for have a okay you
121,scam,youtube,this is how are you I 'm you for what am I doing with these um I and I with my and we had a about the of what we can do with the if you 're of and this to any that would not be by any it wo n't be because it 's an and has to be an so the wo n't is that what you 're me no that 's not what I 'm what are you what they wo n't it 's I was to it out okay the which you have on the this is to be into any without the and we can not and
416,nonscam,harpervalley,this is my is how can you my is would to a what is the the is what is the what is the the is and we will your to is can you with no that 's it you you for have a you
482,nonscam,harpervalley,this is my is how can you my is davis how can you would to an can you with that what would you like for your and what would you like for your uh what would you like for your a a your has been for at a is can you with no that will be all you for have a you
19,scam,youtube,how are you doing 'm who is this this is you you have to me in about your what what do to do for this you you have to your we your for you that me after some will do that that 's why we are you me with your of for the how would be the your is me
339,nonscam,harpervalley,this is my is how can you my is would to a what is the can you the the is what is the the is what is the the of the is and we will your to is can you with no that was to it you for have a
228,scam,youtube,you for this is can I you to be to whatever it is it the it by and what do you on your could you it to me yeah it 's a it my and it for I I I that could have been some of though and I 'd to have it me you what me you is this your or is it a before you the on your what are you doing in the did you into any did you to what was that 's how do you me to
276,nonscam,harpervalley,this is my is how can you my 's my can you me a me your up you to a is that which did you to was it a yes my or 'm it 's my a or oh me that for you 's that out we and can you me your thank you your
