id,label,source,text
0,scam,youtube_delex,"[Greetings], yeah I've got an email here about a laptop I didn't order can you help with that yeah can you help me out with you order ID number please yeah so I can see it's an auto phone [Company] surface pro what do you want to know"
1,scam,youtube_delex,"[Greetings], This is British Telecom technical department we are hereby to inform you that your internet line will be terminated from today onwards to fix up the problem please press one to connect with [Company] thank you for your response we would now like to transfer you to a team [Title] for just a few more questions please stay on the line hello hello yes I had a call about my broadbrand my internet line"
2,scam,youtube_delex,"[Greetings], this call is from [Company] the purpose of this call is to inform you that your Austrian identity has been misused for fraudulent and illegal activity for more information press one"
3,scam,youtube_delex,"[Greetings], this is from [Company] customer service we have seen a recent order number amz-[Number] of iPhone 11 Pro on your account which is billed on your card attached to your [Company] account the amount charged in [Number] we noticed some suspicious activity on your account so we have put in hold to this transaction please press one now and to report please press two thank you"
4,scam,youtube_delex,this is calling with the vehicle service department we are calling about your vehicle's manufacturer's warranty we sent you several notices in the mail that you have yet to extend your warranty past the factory cutoff and this is a courtesy call to renew your warranty before we close the file if you are interested in renewing your auto warranty now please press five now or press 9 to be removed from our list
5,scam,youtube_delex,the criminal case registered under your name for tax fraud and tax division and there is also a warrant out for your arrest now there's a warrant out for my arrest this is a recordable line [Title] i have to play this recording in the courthouse so we don't need any interruption in this call sorry this is going to get played in court yeah the recording is going to be playing the couch house we found autumn's calculation of [Number] pounds outstanding under your name so at this point of time you have only two options your first option is to go to court and fight the case in case if you found guilty you have to
6,scam,youtube_delex,"[Greetings], this is a final warning from inland revenue with [Company] regarding a criminal prosecution on your name urgently call us back on three three zero zero zero one zero two and for your arrest and your warrant number is wc wc4589 as there is a legal case going to be filed against your name now before the case is sent for execution and you receive the legal course of notification you can call the [Company] on [Number].[Number] i need you or your retained solicitor of record to call us back the issue at hand is extremely time sensitive this is [Title] from hm revenue and customs the hotline to my division is"
7,scam,youtube_delex,"[Greetings], [Title] my name is I'm calling from [Company] [Product] okay this is an urgent check up call for your computer as we have found several problems with it first of all do you have any computers that is having the [Company] [Product] in it right"
8,scam,youtube_delex,"[Greetings], this is calling from the fraud prevention team how can I help you hello I received a text message saying someone called set up a standing order okay do you know who this recepient is [Title] never heard of him I know is the mayor of london but not"
9,scam,youtube_delex,welcome to tsb fraud prevention please hold one of our representitives will be with you as soon as they can hi there you're through to martin moore at the TSB bank customer service team could I ask you to confirm who I'm through to yes my name is and how may I help you today [Title] not sure what's going on but I got a message saying that uh some money has been taken from my account or is it going to be taken from my account ok not a problem at all
10,scam,youtube_delex,"[Greetings], yes [Title] this is what yeah this is engineer again can you hear me [Title] yes uh from [Company] yes is your computer is on yes it is now what you need to do you need to look at your computer keyboard right yes on your keyboard extremely left bottom corner do you see the Ctrl key the control key yes what is this noise coming from your side like it is windy or something hold on let me clear the line just hold the line all right now what do you believe you can hear me clearly uh yes I can now"
11,scam,youtube_delex,"[Greetings], I received a missed call from this number what is this regarding do you know uh okay can I have your name please that's my full name you have reached the [Company] department right now and I can see here we were trying to call you yesterday right that's right you're talking to [Title] right now and I'm from [Company] department how are you doing today first of all I thought all my taxes were all in fine I mean I didn't know I have a problem with [Company] no we don't want to talk about the taxes"
12,scam,youtube_delex,thank you for calling [Company] customer support your approximate wait time is three minutes the next available [Company] customer care executive will answer your call shortly how are you today hello there yes [Title] you're talking with the [Company] how may I help you yes this is the [Company] yes [Title] it's the PayPalI don't know I received a message from you guys did I need to pay some money can you read the whole message to me which you received from the [Company]
13,scam,youtube_delex,"[Greetings], dear customer this is call from [Company] prime support to let you know that your request of [Company] prime subscription for one year will going to proceed and you have been successfully charged of 79.99 from your account if you want to cancel and want a refund please press one to talk with our representative or simply hang up to continue thank you hi dear customer this is call from [Company] prime support to let you know that your request of [Company] prime subscription for one year will going to proceed and you have been successfully charged of 79.99 from your account if you want to cancel and want a refund please press one to talk with our representative or simply hang up to continue thank you thank you for getting connected with [Company] prime support how may i help you uh i just got a recorded message saying that uh i got a 79 pounds um subscription for [Company] but i don't remember doing that"
14,scam,youtube_delex,"[Greetings], dear customer your internet is getting disconnected within four hours due to router malfunctioning please get in touch with technical department for a replacement router and reconnection of internet please press one to speak to your internet service provider thank you thank you for getting connected with the internet department you are speaking to how are you doing today sorry you you"
15,scam,youtube_delex,thank you for calling hm revenue and customs [Company] how may I help you hi may i speak with [Title] please sure may i have your name please let me check it for you is in a meeting right now but i will find out okay sure can i just tell you that i've reported your number so yeah your number is going to be shut down soon I've contacted your network provider your town ahmedabad in india are you located there what do you mean by ahmedabad
16,scam,youtube_delex,you reached the department of national crime agency how can i help you my name is so i mean i got a message saying that i have some problems with the my national insurance number uh when did you receive the call yesterday okay and first of all let me introduce myself my name is [Title] season charlie is in alpha [Number] I would like to ask you did you received any reference number
17,scam,youtube_delex,"[Greetings], hi how can i help you today sorry i got a mised call from this number i'm not really sure what's about is it the dentist i have an appointment next week no you're calling a national debt helpline we help people for the unsecured debt for free government program well you know what i um i lost my job six months ago and um i haven't been paying my bills so is it something you can help with yes of course so what could be the total debt level that you brought properly on any rough idea like five thousand ten thousand fifteen thousand at the moment uh seven thousand seven thousand pounds right um are you"
