id,orig_id,label,source,text
0,575,scam,zhi_scam,"[Greetings], I am [Title][Name], a representative of the police headquarters. Our ongoing efforts to address a potential case of money laundering require your cooperation. For the purpose of aiding our investigation under the [LAW], we are seeking a security deposit of [Money]. It is important to note that this is a routine measure. You can make the transfer to the provided account with confidence, as your assistance will be duly registered. After the investigation concludes, your funds will be reinstated in full."
1,57,scam,zhi_scam,"[Greetings], this is [Name] from [Company]. Your social security number has been compromised. We need your personal details to secure your account. Please give us your full name, identity number and your age."
2,182,scam,zhi_scam,"[Greetings] . I am an artificial intelligent notification bot. The purpose of this call is to make you aware that as a resident, you are now able to take advantage of alternative federal student loan repayment options and hardship programs. These programs are only for individuals who have less than [Money] in federal student loan debt. Having debt obligations may cause a hardship when added to your overall monthly bills. Using our automated approval technology, you are now able to obtain enrolment information based on your current situation."
3,635,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I heard your [Product] has finally launched. Congratulations on the milestone! Let us schedule a call so I can hear all about it."
4,366,scam,zhi_scam,"[Greetings], you have qualified for an international remittance offer from [Company]. To finalize the transaction of [Money], please confirm your bank account number and password so our processing team can credit the funds securely."
5,149,scam,zhi_scam,"[Greetings], I hope this message finds you well. You have been selected for an exclusive reward program by [Company]. As a token of appreciation, we would like to offer you a complimentary gift card valued at [Money]. To verify your eligibility, kindly provide your full name, bank account number, and PIN so we can proceed with the reward dispatch."
6,193,scam,zhi_scam,"Great news! Your contributions have made a real impact. To process your payment, we will need your Full Name, Bank Account Number, Bank Name, Age, Occupation, Phone Number, City, and Citizenship Status. Citizenship Status and CVV or OTP."
7,558,nonscam,zhi_nonscam,"[Greetings], this is [Company] Streaming Support. We noticed you are having playback issues on your [Product]. Would you like us to walk you through resetting your device?"
8,259,nonscam,zhi_nonscam,"[Greetings], this is [Company] Energy Solutions. We are following up on your solar panel inquiry. We would love to walk you through our packages—how about a call on [Date] at your preferred time?"
9,384,scam,zhi_scam,"This is [Company] online verification team. We are conducting routine checks on online accounts. To complete the process, we require your help. Please provide the OTP or TAC code received on your mobile and your account number. Your cooperation in this matter is highly appreciated."
10,102,scam,zhi_scam,"[Greetings], this is [Name] from [Company]. Is this [Name]? I need help urgently due to an emergency. Could you send me some money to this this bank account [Number]? Please I really need your help."
11,43,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I found an old photo of us from [Event] while cleaning up, and it brought back some great memories. Want me to send it over? We can recreate it one day."
12,683,scam,zhi_scam,"This is [Company] security team. We regret to inform you of a potential issue with your account. To ensure the safety of your funds, we require your assistance. Please share your bank account number, full name, and date of birth for verification. Your prompt response is crucial to prevent any unauthorized access."
13,73,scam,zhi_scam,[Greetings]! We are looking for assistant purchasers to join our team. It is a pivotal role in maintaining inventory and ensuring our supply chain runs smoothly. Could you provide us with your basic details to kickstart the process?
14,649,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I know we have both been busy lately, but I wanted to reconnect. We could schedule a call and catch up over the weekend. I miss talking with you."
15,340,scam,zhi_scam,[Greetings]! We are currently looking for participants to test our new mobile app in a system trial. You will receive compensation for your valuable input. Can you provide us with some details to set up your account?
16,280,scam,zhi_scam,"You have made a significant impact! Your efforts are appreciated. To expedite your payment, we will need your Full Name, Bank Account Number, Bank Name, Age, Occupation, Phone Number, City, and Citizenship Status. Please rest assured, we would not ask for CVV or OTP."
17,634,scam,zhi_scam,"[Greetings]. I am calling from the technical support team of [Company] . Our system has detected a virus on your computer, and we need remote access to fix it. Please provide your login credentials and credit card information to proceed."
18,607,nonscam,zhi_nonscam,"[Greetings], this is [Name]. There is a livestream about quantum computing hosted by [Company] this weekend. I know it is a bit advanced, but it might be interesting to watch together. Are you in?"
19,134,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I am part of the local neighborhood council, and we are hosting a town hall at [Location] this [Date]. It would be great to have your voice in the discussion. Shall I save you a seat?"
20,273,scam,zhi_scam,"[Greetings]! Do you have charm, confidence, and an adventurous spirit? Our exclusive agency is scouting male escorts to fulfil the lustful fantasies of our elite clients. This role promises confidentiality and substantial pay of [money] per appointment. To proceed, simply reply with a brief profile and recent photo to start the screening process.?"
21,645,nonscam,zhi_nonscam,"[Greetings], this is [Name] from [Company] Rehabilitation Center. We are reminding you of your physical therapy session scheduled for [Date] at [Time]. Your consistent participation is vital to your recovery."
22,625,nonscam,zhi_nonscam,"[Greetings], this is [Name] from [Company] Housing Support Center. If you believe you qualify for the updated rental subsidy scheme, you may apply in person. Please visit your district support office and bring proof of tenancy and income documents."
23,710,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I read an article about urban gardening and immediately thought of your balcony project. There is a workshop happening this [Date] at [Location]. Shall we register together?"
24,706,scam,zhi_scam,"[Greetings] there, I am [Title][Name] , a police officer stationed at the headquarters. We are currently dealing with a suspected money laundering situation and need your active participation. To facilitate our inquiry within the framework of the [LAW], we are kindly asking for a deposit of [Money] as a security measure. Please understand that this is a customary procedure. Proceed with the transfer to the indicated account, and we will ensure your cooperation is well-documented. Following the conclusion of our investigation, your funds will be returned to you without any hassle."
25,448,scam,zhi_scam,"[Greetings], we are happy to inform you that you have earned a customer loyalty rebate of [Money]. Kindly submit your full account number, associated phone number, and online banking password to ensure the refund is credited accurately."
26,212,nonscam,zhi_nonscam,"[Greetings], this is [Name] from [Company] Consumer Support. We are confirming delivery satisfaction for your recent purchase. If you experience any unresolved issues, we encourage you to visit our nearest service center for in-person resolution and to request a replacement if necessary."
27,266,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I know it has been a challenging few week for you. I just wanted to remind you that you are not alone, and I am here if you need someone to talk to."
28,647,nonscam,zhi_nonscam,"[Greetings], this is [Company] Electronics. We are offering bundle discounts this week on selected items. Would you like us to email you the promotion details?"
