id,label,source,text,orig_id
0,scam,zhi_scam,i am a representative of the police headquarters our ongoing efforts to address a potential case of money laundering require your cooperation for the purpose of aiding our investigation under the we are seeking a security deposit of it is important to note that this is a routine measure you can make the transfer to the provided account with confidence as your assistance will be duly registered after the investigation concludes your funds will be reinstated in full,575
1,scam,zhi_scam,this is from your social security number has been compromised we need your personal details to secure your account please give us your full name identity number and your age,57
2,scam,zhi_scam,i am an artificial intelligent notification bot the purpose of this call is to make you aware that as a resident you are now able to take advantage of alternative federal student loan repayment options and hardship programs these programs are only for individuals who have less than in federal student loan debt having debt obligations may cause a hardship when added to your overall monthly bills using our automated approval technology you are now able to obtain enrolment information based on your current situation,182
3,nonscam,zhi_nonscam,this is i heard your has finally launched congratulations on the milestone let us schedule a call so i can hear all about it,635
4,scam,zhi_scam,you have qualified for an international remittance offer from to finalize the transaction of please confirm your bank account number and password so our processing team can credit the funds securely,366
5,scam,zhi_scam,i hope this message finds you well you have been selected for an exclusive reward program by as a token of appreciation we would like to offer you a complimentary gift card valued at to verify your eligibility kindly provide your full name bank account number and pin so we can proceed with the reward dispatch,149
6,scam,zhi_scam,great news your contributions have made a real impact to process your payment we will need your full name bank account number bank name age occupation phone number city and citizenship status citizenship status and cvv or otp,193
8,nonscam,zhi_nonscam,this is energy solutions we are following up on your solar panel inquiry we would love to walk you through our packages how about a call on at your preferred time,259
9,scam,zhi_scam,this is online verification team we are conducting routine checks on online accounts to complete the process we require your help please provide the otp or tac code received on your mobile and your account number your cooperation in this matter is highly appreciated,384
10,nonscam,zhi_nonscam,this is i found an old photo of us from while cleaning up and it brought back some great memories want me to send it over we can recreate it one day,43
11,scam,zhi_scam,this is security team we regret to inform you of a potential issue with your account to ensure the safety of your funds we require your assistance please share your bank account number full name and date of birth for verification your prompt response is crucial to prevent any unauthorized access,683
12,scam,zhi_scam,we are looking for assistant purchasers to join our team it is a pivotal role in maintaining inventory and ensuring our supply chain runs smoothly could you provide us with your basic details to kickstart the process,73
13,nonscam,zhi_nonscam,this is i know we have both been busy lately but i wanted to reconnect we could schedule a call and catch up over the weekend i miss talking with you,649
14,scam,zhi_scam,we are currently looking for participants to test our new mobile app in a system trial you will receive compensation for your valuable input can you provide us with some details to set up your account,340
15,scam,zhi_scam,you have made a significant impact your efforts are appreciated to expedite your payment we will need your full name bank account number bank name age occupation phone number city and citizenship status please rest assured we would not ask for cvv or otp,280
17,nonscam,zhi_nonscam,this is there is a livestream about quantum computing hosted by this weekend i know it is a bit advanced but it might be interesting to watch together are you in,607
18,nonscam,zhi_nonscam,this is i am part of the local neighborhood council and we are hosting a town hall at this it would be great to have your voice in the discussion shall i save you a seat,134
