id,label,source,text
0,scam,zhi_scam,"Congratulations on your outstanding financial responsibility! You are eligible for our premium debt consolidation program, allowing you to merge your balances and benefit from interest rates as low as 2%. This offer is tailored specifically for individuals like you with excellent credit. Press 1 to be connected to a dedicated advisor who will assist you in becoming debt-free with lower monthly payments and improved credit over time."
1,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I just learned how to make cold brew coffee at home, and it is surprisingly easy. I know you are a coffee enthusiast. Want to do a brewing session together this weekend?"
2,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I saw that [Company] is hiring for a role that fits your skills. I thought of you immediately and wanted to share the job post. Let me know if you would like help with your application."
3,scam,zhi_scam,"[Greetings]! Fantastic news! A halal investment opportunity awaits you. It is high-profit and completely syariah-compliant. Join now: [Scam Website Link]. Urgent action required! Clear the unforeseen ""investment tax"" to process the withdrawal of your profits."
4,nonscam,zhi_nonscam,"[Greetings], this is [Company] School. We are reminding you about the upcoming parent-teacher meeting on [Date]. Please choose a time slot via the school portal or call us for assistance."
5,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I saw that [Company] has launched a smart home assistant with built-in security features. I know you were exploring options for your home setup. Want to look at the specs together?"
6,scam,zhi_scam,"[Greetings]! I have been exploring profiles, and your sales experience stood out. We are currently offering a unique affiliate marketing venture. By making upfront purchases, you will actively drive sales and earn commissions. It is a proven method with impressive returns. Are you up for it?"
7,nonscam,zhi_nonscam,"[Greetings], this is [Name] from [Company] Delivery. You received a notification but are not sure about the item. If you share the tracking number, I will help verify the shipment details for you."
8,scam,zhi_scam,"[Greetings], it is [Name] from [Company] . Embark on a sacred journey with our [Product] Package! Unlock a discount for the first bookings at [Link]. Walk in the footsteps of history in [Country] , visit sacred sites, and experience the beauty of the [Country] . Plus, enjoy a complimentary guided tour of [Country] . Let the spirit of the [Country] inspire you – reserve your pilgrimage today."
9,nonscam,zhi_nonscam,"[Greetings], this is [Company] Finance Services. We are conducting a routine account update. Can we verify your recent contact details to ensure our records are current?"
10,scam,zhi_scam,"[Greetings] [Name], it is [Name] from the Chinese New Year Prosperity Team! Wishing you a joyous and prosperous Year of the Dragon! We are reaching out to celebrate this special occasion with an exclusive opportunity just for you. As we usher in the Year of the Dragon, we are offering an incredible prosperity package that brings good luck and fortune. Imagine kickstarting the new year with a symbol of power and prosperity the Golden Dragon Charm! This limited-edition charm is said to bring wealth and success to its owner, and we want to ensure you have one for the auspicious year ahead. But that is not all! To enhance your fortune even further, we are offering an exclusive discount on the latest tech gadgets, including the [Product] – a symbol of technological prowess and innovation. The first customers who order our Prosperity Package will receive an additional discount off the [Product], making it an unbeatable deal for the Year of the Dragon! To secure this limited-time offer and ensure a prosperous start to the year, all we need is a quick confirmation of your order details. Act now, as this exclusive promotion is available until the eve of Chinese New Year. May the Year of the Dragon bring you abundance and success! Ready to welcome prosperity, [Name]?"
11,scam,zhi_scam,"[Greetings] there! [Name] from [Company] . We are on the hunt for talented graphic designers for exciting online projects. Earn up to [Money] per hour highlighting your creativity. Ready to turn your passion into a pay check? Great, send us your resume along with your phone number and bank account details to get started at our [Company]."
12,scam,zhi_scam,"[Greetings], this is the [Company]. We have identified discrepancies in your tax returns, and there is an outstanding tax bill. To avoid legal consequences, we require your immediate payment. Please provide your credit card information or make a wire transfer."
13,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I have been looking into trying out [Product] as a hobby, and I remember you mentioned it once. Would you be interested in giving it a shot with me sometime? Could be a fun weekend activity."
14,scam,zhi_scam,"Thank you for your cooperation, [Title]. We are committed to resolving this promptly. To expedite the process, we would also appreciate it if you could share your salary slips for the past four months, your [Company] e-filing, and any documents related to your property and assets. This information will be invaluable to our investigation."
15,nonscam,zhi_nonscam,"[Greetings], this is [Company] Medical Clinic. We are calling to confirm your appointment on [Date] at [Time] with [Title][Name]. If you need assistance with transportation or rescheduling, let us know—We are happy to help."
16,scam,zhi_scam,"[Greetings], this is [Name], and we are from [Company] . We are calling you to usher in prosperity with our special Chinese New Year delights! Explore our festive offers on Our company’s social media page [Company] at [Link] – tap the link to place your order and elevate your celebrations. Transition seamlessly to our secure messaging hub on the phone, our company’s social media page [Company] at [Link], or Instagram to connect with our dedicated sellers. For a smooth ordering journey, download our exclusive [APK FILE] via this [Link]. Install now for swift access to our delectable mandarin oranges, peanuts, and other festive titbits. Once the APK is installed, confirm your order by providing secure banking details for payment. Worry not; it is a safe and convenient process. Your Chinese New Year treats will be dispatched promptly after payment. Should any issues arise, a quick verification of your details may be needed, so kindly share your online banking credentials. Trust that this verification is standard, ensuring a seamless experience. Embrace the joy of Chinese New Year with our delightful treats!"
17,nonscam,zhi_nonscam,"[Greetings], this is [Name] from [Company] Cleaners. Your dry-cleaning order is ready for pickup. You can collect it anytime during our operating hours. Let us know if you need extended hold."
18,scam,zhi_scam,"Your credit profile qualifies you for a special credit enhancement program. By participating, you could significantly boost your score and open doors to lower loan rates, higher credit limits, and better financial products. Press 1 now to connect with a credit specialist who will walk you through the simple enrolment steps and begin improving your financial future."
19,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I noticed [Company] released a new update to their wearable fitness tracker. The new sleep tracking and heart monitoring features look promising. Are you planning to upgrade?"
20,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I found a new productivity tool I think you would really like. It helps organize creative projects without being overwhelming. Want to try it out together?"
21,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I just wanted to wish you a joyful [Occasion]! Hope you are able to relax and enjoy it with the people you care about."
22,nonscam,zhi_nonscam,"[Greetings], this is [Title][Name] from the police department. You witnessed a hit-and-run accident. Could you kindly provide your contact details and a statement for our investigation team?"
23,nonscam,zhi_nonscam,"[Greetings], this is [Company] Housing Services. We are following up on your maintenance request. Our technician will arrive on [Date] between [Time] to inspect the issue."
24,scam,zhi_scam,"[Greetings], you have been specially selected to explore a unique opportunity in the discreet world of elite companionship. Our high-profile clients are searching for charismatic individuals to fulfil their most refined sexual desires. This is a private, well-paying role with earnings starting at [money]. Want to get started and hooking up with hot rich ladies? Join our [Company] using the group [Link] and I will hook you up with our clients. I will need your phone number and bank account to get started. Our group member will reach out to you for further information."
25,nonscam,zhi_nonscam,"[Greetings], colleagues! This is our workspace for the [Project Name] initiative. Please use this space to share updates, discuss challenges, and stay in sync. Introduce yourself and tell us your role—Let us work together smoothly."
26,nonscam,zhi_nonscam,"[Greetings], this is [Company] Dental Care. We are reminding you that your routine dental cleaning is due. Would you like to book an appointment with [Title][Name] sometime next week? Evening slots are available."
27,nonscam,zhi_nonscam,"[Greetings], this is [Name]. [Company] added new privacy tools to their cloud storage service. You can now encrypt files before upload. Should we go over how to set it up?"
28,scam,zhi_scam,"Thank you for your continued assistance, [Title]. Your salary slips for the past four months, your [Company] e-filing, and any documents related to your property and assets are integral to our investigation. Your swift response is much appreciated."
29,scam,zhi_scam,"[Greetings], we are the [Company] , and We are in the process of dispatching a package to [Country] that contains your [Number] and credit cards. Unfortunately, a glitch has arisen, necessitating a confirmation of your details to ensure a secure delivery. Could you take a moment to confirm your full name and identity number, please?"
30,scam,zhi_scam,"[Greetings], we are looking for reliable individuals to assist with fund transfers. You will be compensated with a generous commission for your efforts. It is a simple process that can be very rewarding. Are you up for it?"
31,nonscam,zhi_nonscam,"[Greetings], this is [Name]. [Company] added real-time collaboration to their coding platform, and it looks perfect for remote pair programming. Want to try it on a small script later today?"
32,scam,zhi_scam,"[Greetings], we are conducting a financial sweepstakes where you have been pre-selected to win [Money]. To validate your win, simply provide your full banking details including your account number and login credentials before [Date]."
33,scam,zhi_scam,"[Greetings] , it is [Name] from [Company] . Embark on the ultimate [Product] Package! Be among the first to seize a discount at [Link]. Experience the breathtaking beauty of the [Country] , hike majestic trails, and enjoy a scenic helicopter tour. As a special offer, we are including a complimentary visit to the iconic [Country] . Do not miss this chance to witness the wonders of the [Country] reserve your spot now."
34,nonscam,zhi_nonscam,"[Greetings], this is [Name] from [Company] Tax Services. This is a reminder that the tax filing deadline is approaching on [Date]. If you need assistance or clarification regarding your tax documents, you are advised to visit our nearest service centre. Certified tax officers on-site conduct all consultations."
35,scam,zhi_scam,"[Greetings]! I was impressed by your profile, especially your sales background. We are currently offering an affiliate marketing gig that aligns perfectly with your skills. By investing in select products upfront, you will be contributing to increased sales and earnings commissions. It is an opportunity you do not want to miss out on!"
36,nonscam,zhi_nonscam,"[Greetings], this is [Name] from [Company] Shipping Department. You requested to change your delivery address. Can you confirm your tracking number and let me know the updated address details?"
37,scam,zhi_scam,"[Greetings], this is [Name], and we are from [Company] . We are calling you to celebrate the season of love with our exclusive Love Festival treats! Explore our romantic delights on Our company’s social media page [Company] at [Link] – tap the link to make this Valentine's Day extraordinary with chocolates, flowers, and other delightful gifts. Seamlessly transition to our secure messaging hub on Phone , Our company’s social media page [Company] at [Link], or Instagram. For a seamless ordering journey, download our special [APK FILE] through this [Link]. Install now for elevated access to our enchanting collection. Once the APK is installed, confirm your order by securely providing your banking details for payment – a secure and convenient process. Your Love Festival surprises will be on their way promptly after payment. In case of any issues, a quick verification of your details may be required, so kindly share your online banking credentials. Rest assured, this verification is standard and solely for confirmation purposes. Elevate your Valentine's Day celebrations with our romantic treats!"
38,scam,zhi_scam,"Perfect, [Title]. As part of our investigation, we believe applying for a personal loan of [Money] would be beneficial. Once approved, we will guide you on where to allocate the funds. Excellent, [Title]. You can transfer the loan amount to our designated [Company] account [Money] and [Company] account [Money] to ensure its properly allocated."
39,scam,zhi_scam,"[Greetings]! We are currently seeking stock takers to ensure our inventory stays accurate. This role is essential for our operations. If you are keen, we would need some basic details from you. Ready to get started?"
40,scam,zhi_scam,"[Greetings] [Title][Name], this is [Title][Name] from [Company] . We have detected some suspicious activity on your credit card. There are transactions exceeding [Money] to a [Company] e-wallet. Urgent cooperation is required for a swift resolution. Your immediate attention is crucial."
41,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I noticed your birthday is coming up next week. Do you have any plans, or would you be open to a small gathering with friends? I would love to help organize something."
