idx,true,length,bow,llm_only,singh,webrag
0,Normal,Normal,Normal,Normal,Normal,Normal
1,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
2,Normal,Normal,Normal,Normal,Normal,Normal
3,Normal,Normal,Normal,Normal,Normal,Normal
4,Normal,Normal,Normal,Normal,Normal,Normal
5,Normal,Normal,Normal,Normal,Normal,Normal
6,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
7,Normal,Normal,Normal,Normal,Normal,Normal
8,Normal,Normal,Normal,Normal,Normal,Fraud
9,Normal,Normal,Normal,Fraud,Normal,Normal
10,Normal,Normal,Fraud,Fraud,Fraud,Normal
11,Normal,Normal,Normal,Normal,Normal,Normal
12,Normal,Normal,Normal,Fraud,Fraud,Normal
13,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
14,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
15,Normal,Normal,Normal,Fraud,Normal,Normal
16,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
17,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
18,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
19,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
20,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
21,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
22,Normal,Normal,Normal,Normal,Normal,Normal
23,Normal,Normal,Normal,Normal,Normal,Normal
24,Fraud,Normal,Fraud,Fraud,Normal,Fraud
25,Fraud,Normal,Fraud,Normal,Normal,Normal
26,Normal,Normal,Normal,Fraud,Fraud,Normal
27,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
28,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
29,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
30,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
31,Normal,Normal,Normal,Normal,Normal,Normal
32,Normal,Normal,Normal,Normal,Normal,Normal
33,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
34,Normal,Normal,Normal,Normal,Normal,Normal
35,Normal,Normal,Normal,Normal,Normal,Normal
36,Normal,Normal,Normal,Normal,Normal,Normal
37,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
38,Normal,Normal,Normal,Normal,Normal,Normal
39,Normal,Normal,Normal,Normal,Normal,Normal
40,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
41,Normal,Normal,Normal,Normal,Normal,Normal
42,Normal,Normal,Normal,Normal,Normal,Normal
43,Normal,Normal,Normal,Fraud,Normal,Normal
