idx,true,length,bow,singh,webrag
0,Fraud,Normal,Fraud,Fraud,Normal
1,Fraud,Fraud,Fraud,Fraud,Fraud
2,Fraud,Fraud,Fraud,Fraud,Fraud
3,Normal,Normal,Normal,Normal,Normal
4,Normal,Normal,Normal,Normal,Normal
5,Normal,Normal,Normal,Normal,Normal
6,Normal,Normal,Normal,Normal,Normal
7,Fraud,Fraud,Normal,Fraud,Fraud
8,Fraud,Fraud,Fraud,Fraud,Fraud
9,Normal,Normal,Normal,Normal,Normal
10,Normal,Normal,Normal,Normal,Normal
11,Normal,Normal,Normal,Normal,Normal
12,Normal,Normal,Normal,Normal,Normal
13,Fraud,Fraud,Normal,Normal,Fraud
14,Fraud,Normal,Fraud,Fraud,Fraud
15,Normal,Normal,Normal,Normal,Normal
16,Normal,Normal,Normal,Normal,Normal
17,Normal,Normal,Normal,Normal,Normal
18,Fraud,Normal,Fraud,Fraud,Fraud
19,Normal,Normal,Normal,Fraud,Normal
20,Normal,Normal,Normal,Normal,Normal
21,Normal,Normal,Normal,Normal,Normal
22,Normal,Normal,Normal,Normal,Normal
23,Normal,Normal,Normal,Fraud,Normal
24,Fraud,Normal,Fraud,Fraud,Fraud
25,Fraud,Fraud,Fraud,Fraud,Fraud
26,Normal,Normal,Normal,Normal,Normal
27,Normal,Normal,Normal,Fraud,Normal
28,Fraud,Normal,Fraud,Fraud,Fraud
29,Fraud,Fraud,Fraud,Fraud,Fraud
30,Normal,Normal,Normal,Normal,Normal
31,Normal,Normal,Normal,Normal,Normal
32,Fraud,Normal,Fraud,Fraud,Fraud
33,Fraud,Fraud,Fraud,Fraud,Fraud
34,Fraud,Fraud,Fraud,Fraud,Fraud
35,Fraud,Fraud,Fraud,Fraud,Fraud
36,Fraud,Normal,Fraud,Fraud,Fraud
37,Fraud,Normal,Fraud,Fraud,Fraud
38,Fraud,Fraud,Fraud,Fraud,Fraud
39,Fraud,Fraud,Fraud,Fraud,Fraud
