idx,true,text,length,bow,llm_only,singh,webrag
0,Normal,"Agent: Hello? Caller: Yes. Hi. Uh, [ORG], this is [NAME] with [ORG]. You had completed a quote request form on our website for life insurance, and I just wanted to reach out and see if there's any way I can help. Agent: Oh, [confused] a quote request form? For, um, life insurance, you said? [curious] I don't really remember filling out anything like that. How does that work? Caller: Yes. Yes. Call",Fraud,Normal,Fraud,Normal,Fraud
1,Normal,"Agent: Hello? Caller: Hello, [NAME]? Agent: Yes, this is [NAME]. [curious] Who's calling, please? Caller: Hello, [NAME]? Hi, [NAME]. This is [NAME]. I'm calling from [ORG] on a monitored and recorded line responding to a life insurance request you submitted. Agent: Oh, [surprised] a life insurance request? Yes, I... I think I did something like that a while ago. [curious] What can I help you with,",Fraud,Normal,Fraud,Fraud,Fraud
2,Normal,"Agent: Hello? Caller: [ORG]. I'm calling regarding a request made for sidings in your home to get that free estimate. Hello? Agent: Oh, um, [confused] sidings? Yes, I—I think I did something like that a while back. [curious] Who did you say this was again? Caller: Hello? Are you there? Oh, okay. Yes. I'm seeing where a request was made for free quotation for siding. Agent: Oh, yes, [uncertain] I t",Fraud,Normal,Normal,Normal,Fraud
3,Normal,"Agent: Hello? Caller: Hey, miss [NAME]. This is [NAME]. I'm just calling back on a recorded line from [ORG]. Caller: We had spoken with you about the home warranty coverage. And we were just reaching back out today because we do actually have some new discounts on the coverage here for you. Help you save a little bit more. Caller: Give me one moment. I can pull up the new discounts that we got for",Fraud,Normal,Fraud,Fraud,Fraud
4,Fraud,"Agent: Hello? Caller: Hello, My name is [NAME]. I was calling here with [ORG] on a recorded line. How are you doing today? Agent: Oh, hello [NAME]. [calm] I'm doing just fine, thank you. [curious] [ORG], you say? What's this about, dear? Caller: Yes. We were reaching out here following up on an inquiry regarding some tax debt. Caller: We just wanted to see here though what is the amount that you w",Fraud,Fraud,Fraud,Fraud,Fraud
5,Fraud,"Agent: Hello? Caller: Hello. This is [NAME] on a recorded line. Agent: [NAME], [curious] is it? Ah, grand, grand. And who are you with now, me boy? Caller: Yes, sir. Agent: And what can I do for ya, [NAME]? [curious] Where are you calling from? Caller: Yes. I'm calling from [ORG]. Looks like you were, uh, checking out the program online. Agent: Oh, [ORG], [confused] yeah, that's right. I was, um, ",Fraud,Fraud,Fraud,Normal,Fraud
6,Fraud,"Agent: Hello? Caller: Hello. This is [NAME], [ORG]'s virtual assistant, following up on your interest in our debt program. This call is recorded for quality assurance. Caller: Am I speaking with [NAME]? Caller: Uh-huh. Hi. This is [NAME], [ORG]'s virtual assistant. I'm following up on your interest in our debt relief program, and this call is recorded for quality assurance. Caller: Am I speaking w",Fraud,Fraud,Fraud,Fraud,Fraud
7,Normal,"Agent: Hello? Caller: Hi. This is [NAME] calling from [ORG]. Am I speaking with [ORG]? Caller: Hello? Agent: Oh, it's [NAME], dear. E-D-N-A. But yes, [calm] you've got the right person. [curious] What's this about, honey? [confused] [ORG]? Oh, no, dear, my name is [NAME]. [NAME]. [curious] Did you say [ORG]? What's this about? Caller: We got a online request for window or door replacement. Agent: ",Fraud,Normal,Fraud,Normal,Fraud
8,Fraud,"Agent: Hello? Caller: This is [NAME] with [ORG]. A recorded line. How are you? Agent: Oh, [calm] I'm doing just fine, dear. And you? Caller: I'm good. Thanks for asking. Is this [NAME]? Agent: Yes, [calm] this is [NAME]. Caller: Hey, [NAME]. I was just calling because it looks like you were looking around for some debt relief options. Are you still looking for some help with your debt? Agent: Debt",Fraud,Fraud,Fraud,Fraud,Fraud
9,Normal,"Agent: Hello? Caller: Hello, [NAME]. My name is [NAME]. I am a recorded line with [ORG], and I was calling on behalf Caller: of the information that you requested on your Honda Civic. So I just wanted to go over a few details with you just to make sure that everything is correct. Caller: Um, I do see that you have about fifty thousand miles on that vehicle. Agent: [curious] Yes, yes. [ORG]. What i",Fraud,Normal,Fraud,Fraud,Fraud
