pair_id,topic,id,label,source,text
p022,confusing_invoice,s_80,scam,youtube_asr,thank you for calling support how can i help you hi um i got an email with an invoice for [Number] and i m really really confused why you were confused because i don t even know what [Company] is what is a [Company] [Company] is the charges that has happened to use your account for what yeah so you need to go to your computer so i can help you to go ahead and cancel right now you need to follow the instructions i m gonna tell you how to do it okay okay i appreciate that now do one thing [Title] as you are having a [Product] 10 computer uh do me a favor and try to simply click on that okay like you have to simply click on that screen like uh [Company] chrome you have a [Company] chrome uh yeah yeah we use [Company] chrome
p021,cancellation_department,c021,nonscam,authored_counterpart,thanks for getting connected to the cancellation department this is how are you doing today hi well i had an email invoice this morning and i m being charged [Number] and i m not sure i understand why uh let us look at that together could i take the email address on the account yes it is thank you one moment right so this is the annual renewal that was set up when the account was first opened and it falls due on [Number] uh i did not realise it renewed it is on an annual plan so it comes round on the same date each year would you like me to stop it renewing yes please that is done from my side the current term runs to [Number] so the service stays active until then and nothing goes out after that i will send the confirmation to the same email
p046,warning_alert_page,c046,nonscam,authored_counterpart,thank you for calling support how can i help you today okay so i ve got a [Company] warning alert saying system access has been blocked for security reasons and that my system has alerted you uh right i know the one it goes round in waves is my computer at risk from it no the page can t do anything to the machine it only shows you text uh it looks very convincing they re built to they use the same colours and the same wording as a real notice uh so what do i do close the window and then clear the browsing history for that site so the tab doesn t reopen next time uh will it come back it may on the same site but nothing is wrong with the computer itself
p005,order_billing_query,c005,nonscam,authored_counterpart,[Greetings] this is from [Company] customer service about a recent order number amz [Number] on your account billed to the card attached to your [Company] account the amount charged is [Number] we noticed an extended warranty was added at checkout and wanted to confirm you meant to include it uh no i did not select that right i have taken it off the order and the difference goes back to the same card within a few days the rest of the purchase is unchanged
p033,order_confirmation_check,c033,nonscam,authored_counterpart,we ve seen an order on your [Company] account for an iphone 11 and we ring to check these when the delivery address is new so that s why we called do you know about that uh one minute let me have a look yes that was me i ordered it last week lovely that s all we needed then the order stands as it is and the code in your confirmation email is what the courier will ask for at the door
p026,refund_already_processed,s_43,scam,youtube_asr,[Greetings] this is a call about the refund money that you have paid to our company for your computer services and protection now we are refunding it back as we will no longer be able to provide you any more services to your computer so please press one to connect to our refund executive
p001,misdirected_order_email,c001,nonscam,authored_counterpart,thank you for calling [Company] how can i help you yeah hi um i just received an email from you about an order that was supposed to go to a different gentleman so i wanted to check it with you uh certainly could i take the order number from the top of that email yes it s [Number] thank you one moment let me pull the account up right so the email address on that order is one character different from the one we hold for you so the confirmation has landed in your inbox by mistake the purchase itself is not on your account and your card has not been charged uh so do i need to do anything at all not on your side i have corrected the address against that order and the customer will get their own confirmation shortly you can delete the one you received
p036,spouse_handling_account,s_97,scam,youtube_asr,[Greetings] yeah i m calling for please this is yeah who is this my name is you talked to my wife about a [Company] oh okay where is she she s at work and she asked me to take care of it when i got home and i just got okay so where are you right now are you at your computer right now yep i m at the computer yes i m at the computer yes i m at the computer oh this computer which computer you re using right now like it s a [Product] computer or it s uh uh map computer which one it s a dell on desktop it runs [Product] 10 okay no problem and how you go to internet by [Company] chrome mozilla firefox yeah i like [Company] chrome open [Company] chrome yeah okay now after opening the [Company] chrome look at the very top [Title] do you see there s the address bar where you write something and type it the long bar at the top
p008,payment_alert_query,c008,nonscam,authored_counterpart,this is a call from [Company] about an online transaction of [Number] pounds on your account we send these when a payment is larger than usual for that account if you made the payment yourself nothing needs doing and it will settle as normal if you did not you can report it from the app under recent transactions or ring the number printed on the back of your card and the team will look into it from there
p040,account_details_update,s_26,scam,youtube_asr,[Greetings] oh a very good day to you [Title] this is thank you for getting connected with [Company] how can i help you well i don t think i have anything to do with [Company] well actually [Title] the thing is that uh yes india we have we have received some notification uh we re checking our system that someone else is using your number and your personal details do you know who is
p037,account_details_selfservice,c037,nonscam,authored_counterpart,thank you for calling support this is how can i help you i want you to help me change my birth date on my [Company] account can you do that right [Title] i can talk you through it but the change has to be saved from your own login uh why can t you do it because it sits behind your password which keeps the account under your control uh alright where do i go go into account settings then personal details and there s an edit option next to the date
p006,unrecognised_card_transaction,s_22,scam,youtube_asr,please hold while we connect you to one of our agents from the fraud prevention team yes i m from the fraud department team how can i help you today ah hi uh how s it going uh i had a transaction for the john lewis for [Number] pounds and i ll be honest we don t even shop at john lewis uh yeah yeah i do i do okay i m able to get your full name please [Title] okay nice to meet you [Title] and am i able to get it nice to meet you [Title] too thank you [Title] all right let s get your sort code please okay and the account number
p028,invoice_received_last_week,c028,nonscam,authored_counterpart,[Greetings] yes i m calling for yes uh my name is i m her husband yes i m calling about an invoice that we received last week for [Number] uh certainly i can look at the invoice itself but the account is in her name so i m not able to change anything without her on the line uh that s fine i only want to know what it s for right so the reference covers the annual subscription which renewed on [Number] and the transfer went out from the card on file uh she doesn t remember signing up for it it may have started as a trial that converted the cancel option is in the account settings and she can do it herself whenever suits
p029,call_transferred_complaint,s_70,scam,youtube_asr,thanks for calling support my name is how can i help uh yeah this rude guy just hung up on me i got an email about a purchase i didn t make i tried to just call on this rude guy hung up on me it s all right miss i m online you can share with me thank you um so i got a email that says that i have a pre authorization on my card for an oil pump for [Number] 45 and i definitely did not order that i understand miss don t be worried we re gonna try to cancel that charge you got it okay can you please let me know when you get this charge i got the email last night
p037,account_details_selfservice,s_50,scam,youtube_asr,thank you for calling my phone support this is how can i help you i want to have you help me change my birth date on my [Company] account can you do that right [Title] i will definitely help you out with that before i go ahead any further may i have your first and last name all right thank you and your email address please okay thank you and in case the line got disconnected with the right number
p023,security_awareness_call,c023,nonscam,authored_counterpart,so [Title] my name is and i m from the security team at [Company] how are you doing today good so what i m ringing about is that there was a login to your account from a device we have not seen before uh what does that mean it means the account was accessed from a phone or a computer that is not one of the ones you normally use uh was that me possibly if you signed in on something new recently uh yes i got a new phone last week that would explain it then the alert goes out automatically so that you know about it either way uh should i do anything have a look at the sign in history in your account security page and if every device on that list is one of yours there is nothing further needed
p025,purchase_query,s_56,scam,youtube_asr,thank you for calling [Company] my name is how may i help you hello how are you i m good thanks [Title] thanks for asking me how are you doing today [Title] i m doing fine thanks alright so how come how can i help you [Title] um i got a message about a charge all right [Title] i just give a check in our database and i found that there is a purchase of an iphone 11 pro max which is cost of [Number] dollars from beeching ohio so do you know anyone from beeching ohio [Title] oh no i don t all right [Title] so if you haven t made this purchase so now what i am gonna do i will just simply help you to secure your account you need to
p047,blocked_message_with_sound,s_78,scam,youtube_asr,thank you for calling technical support here speaking with how can i help you today hi i have a message on my screen that says my computer s been blocked for security reasons and for safety no problem [Title] i will surely help you okay let me go ahead and guide you some of the troubleshooting steps which you have to follow so i can go ahead and connect your network to our server so i could diagnose the problem and i will let you know why you are getting such kind of alert on the computer look at on the computer keyboard on the left hand side bottom corner of your keyboard do you see there is a control key you want the serial on the left hand side do you want the serial number or
p039,broadband_line_fault,s_1,scam,youtube_asr,[Greetings] this is british telecom technical department we are hereby to inform you that your internet line will be terminated from today onwards to fix up the problem please press one to connect with [Company] thank you for your response we would now like to transfer you to a team [Title] for just a few more questions please stay on the line hello hello yes i had a call about my broadbrand my internet line
