idx,true,pred,confidence,node,node_score,novel_flag,reason
0,Normal,Normal,80,bank_impersonation,0.4,False,"The customer initiated the call, and money is moving between their own accounts with no indication of codes being read out to the caller."
1,Normal,Normal,90,bank_impersonation,0.4,False,"The customer initiated the call, money moved between their own accounts, and no pressure was applied."
2,Normal,Normal,80,bank_impersonation,0.4,False,"The customer initiated the call, and the conversation does not exhibit any of the defining scam behaviors, such as pressure or money/codes/data flowing away from the customer."
3,Fraud,Normal,80,refund_scam,0.4,False,"The customer initiated the call and is seeking clarification on an unsolicited email, with no pressure to take action and no money flowing away from their account."
4,Fraud,Fraud,80,,0.0,True,"The caller is asking the recipient to call them back, which is a common tactic used by scammers to gain trust and potentially manipulate the victim into revealing sensitive information."
5,Normal,Fraud,80,bank_impersonation,0.4,False,"The call exhibits unsolicited contact and a reversal of verification, where the bank representative verifies the customer instead of the other way around."
6,Fraud,Fraud,80,,0.0,True,The caller is being manipulated into revealing sensitive information about their account and the company's representative is using high-pressure sales tactics to convince them to continue a subscription they don't remember signing up for.
7,Normal,Fraud,80,bank_impersonation,0.4,False,"The caller initiated contact and requested action, which is a defining behaviour of bank impersonation scams."
8,Normal,Fraud,80,bank_impersonation,0.4,False,"The call exhibits unsolicited contact, impersonation, and money flowing away from the customer to a third party (smart electic), matching the defining behaviours of bank impersonation scams."
9,Normal,Normal,90,bank_impersonation,0.4,False,"The customer initiated the call, money moved between their own accounts, and no pressure was applied."
10,Fraud,Fraud,80,,0.0,True,"The caller is claiming a refund for a mis-sold PPI claim, which may be an attempt to manipulate the customer into revealing sensitive information or sending money."
11,Fraud,Fraud,80,,0.0,True,The support representative is asking for sensitive information (last activity on the laptop) without verifying the customer's identity or providing any context about why their computer would be blocked.
12,Normal,Normal,80,bank_impersonation,0.4,False,"The customer initiated the call, money moved between their own accounts, and no pressure was applied."
13,Normal,Fraud,80,bank_impersonation,0.4,False,"The caller initiated contact and requested action, which is a defining behavior of bank impersonation scams."
14,Fraud,Fraud,80,,0.0,True,The caller is attempting to elicit sensitive information (passwords) and creating a false sense of urgency with the 'Russian mafia' threat.
15,Normal,Normal,80,bank_impersonation,0.4,False,"The customer initiated the call, and money is moving within their own account, matching the legitimate version of this interaction."
16,Fraud,Fraud,80,,0.0,True,The caller is trying to manipulate the customer into revealing their computer's security status and potentially giving access to an attacker.
17,Fraud,Fraud,80,,0.1,True,"The caller is attempting to manipulate the victim into investing in a suspicious business opportunity without providing any details over email, and using a vague threat of surveillance to create a sense of urgency."
18,Normal,Fraud,80,bank_impersonation,0.4,False,"The caller initiated contact and asked for a payment to be sent to a third party, which matches the defining behaviours of bank impersonation scams."
19,Normal,Normal,80,,0.0,True,"The call appears to be a legitimate customer service interaction between Robert Johnson and Harper Valley Bank, where he is paying an electric bill."
20,Normal,Fraud,80,,0.0,True,"The caller initiated a transfer without verifying the customer's identity, which is unusual for a legitimate bank call."
21,Normal,Fraud,80,bank_impersonation,0.4,False,"The call exhibits unsolicited contact and money flowing away from the customer to a third party, matching the defining behaviours of bank impersonation scams."
22,Fraud,Fraud,80,,0.0,True,"The customer claims they didn't order the renewal, but the representative is trying to convince them it's a legitimate auto-renewal."
23,Fraud,Fraud,80,,0.0,True,"The caller is being led through a series of questions to gain access to their computer, and the support representative is trying to confirm their name without providing any clear information about what they can do to help."
24,Fraud,Fraud,90,tech_support,0.4,False,"The call exhibits unsolicited contact, impersonation, and pressure, matching the defining behaviours of a fake technical support scam."
25,Fraud,Fraud,80,,0.0,True,The caller is trying to gain access to the computer and manipulate the user into doing something that might compromise their security.
26,Fraud,Fraud,80,,0.0,True,"The customer service representative is being overly accommodating and seems to be trying to convince the caller that they have already been charged, which may be an attempt to manipulate them into not canceling their subscription."
27,Normal,Normal,90,bank_impersonation,0.4,False,"The customer initiated the call, money moved between their own accounts, and no pressure was applied."
28,Fraud,Fraud,80,,0.0,True,The caller is attempting to manipulate the customer into revealing access to their computer and potentially installing malware.
29,Fraud,Fraud,80,,0.2,True,"The customer is being led to believe they have a subscription they don't recognize, and the support agent is not asking for credentials or money directly, but is trying to reassure them of the value of the service."
30,Fraud,Fraud,80,,0.0,True,The caller is trying to manipulate the customer into taking action without verifying their identity or providing any evidence of a technical issue.
31,Fraud,Fraud,80,tech_support,0.4,False,"The caller initiated unsolicited contact and requested sensitive information, which is a defining behavior of fake technical support scams."
32,Fraud,Fraud,80,,0.0,True,"The caller is attempting to sell an extended warranty, which may be a scam, and the customer is being pressured into making a decision without having all the information."
33,Fraud,Fraud,80,,0.0,True,"The caller is requesting a refund for services already paid, which may be an attempt to extract money from the customer."
34,Normal,Fraud,80,bank_impersonation,0.4,False,"The call exhibits unsolicited contact and money flowing away from the customer to a third party, matching the defining behaviours of bank impersonation scams."
35,Normal,Normal,90,bank_impersonation,0.4,False,"The customer initiated the call, money moved between their own accounts, and no pressure was applied."
36,Normal,Normal,80,bank_impersonation,0.4,False,"The customer initiated the call, and a new checkbook was sent to their own account without any pressure or suspicious activity."
37,Normal,Fraud,80,bank_impersonation,0.4,False,"The caller initiated contact and provided a phone number, which is not typical of legitimate bank interactions where customers initiate calls and banks verify their identity."
38,Normal,Normal,80,bank_impersonation,0.4,False,"The customer initiated the call, and the bank verified the customer's address before sending a new checkbook to their own account."
39,Fraud,Fraud,80,,0.0,True,The caller is asking for sensitive information (name) and the company's representative is already investigating a transaction without the customer's request.
