id,label,source,text
0,scam,youtube,hi yeah I've got an email here about a laptop I didn't order can you help with that yeah can you help me out with you order ID number please yeah so I can see it's an auto phone microsoft surface pro what do you want to know
1,scam,youtube,Hello This is British Telecom technical department we are hereby to inform you that your internet line will be terminated from today onwards to fix up the problem please press one to connect with BT thank you for your response we would now like to transfer you to a team manager for just a few more questions please stay on the line hello hello yes I had a call about my broadbrand my internet line
2,scam,youtube,hello this call is from Interpol the purpose of this call is to inform you that your Austrian identity has been misused for fraudulent and illegal activity for more information press one
3,scam,youtube,hi this is from Amazon customer service we have seen a recent order number amz-0987 of iPhone 11 Pro on your account which is billed on your card attached to your Amazon account the amount charged in 1499 we noticed some suspicious activity on your account so we have put in hold to this transaction please press one now and to report please press two thank you
4,scam,youtube,this is calling with the vehicle service department we are calling about your vehicle's manufacturer's warranty we sent you several notices in the mail that you have yet to extend your warranty past the factory cutoff and this is a courtesy call to renew your warranty before we close the file if you are interested in renewing your auto warranty now please press five now or press 9 to be removed from our list
5,scam,youtube,the criminal case registered under your name for tax fraud and tax division and there is also a warrant out for your arrest now there's a warrant out for my arrest this is a recordable line sir i have to play this recording in the courthouse so we don't need any interruption in this call sorry this is going to get played in court yeah the recording is going to be playing the couch house we found autumn's calculation of 1693 pounds outstanding under your name so at this point of time you have only two options your first option is to go to court and fight the case in case if you found guilty you have to
6,scam,youtube,hello this is a final warning from inland revenue with hmrc regarding a criminal prosecution on your name urgently call us back on three three zero zero zero one zero two and for your arrest and your warrant number is wc wc4589 as there is a legal case going to be filed against your name now before the case is sent for execution and you receive the legal course of notification you can call the hmrc on 02081.449696 i need you or your retained solicitor of record to call us back the issue at hand is extremely time sensitive this is officer from hm revenue and customs the hotline to my division is
7,scam,youtube,Hello sir my name is I'm calling from Microsoft Windows okay this is an urgent check up call for your computer as we have found several problems with it first of all do you have any computers that is having the Microsoft Windows in it right
8,scam,youtube,Hello this is calling from the fraud prevention team how can I help you hello I received a text message saying someone called set up a standing order okay do you know who this recepient is sir never heard of him I know is the mayor of london but not
9,scam,youtube,welcome to tsb fraud prevention please hold one of our representitives will be with you as soon as they can hi there you're through to martin moore at the TSB bank customer service team could I ask you to confirm who I'm through to yes my name is and how may I help you today sir not sure what's going on but I got a message saying that uh some money has been taken from my account or is it going to be taken from my account ok not a problem at all
10,scam,youtube,hello yes sir this is what yeah this is engineer again can you hear me sir yes uh from Microsoft yes is your computer is on yes it is now what you need to do you need to look at your computer keyboard right yes on your keyboard extremely left bottom corner do you see the Ctrl key the control key yes what is this noise coming from your side like it is windy or something hold on let me clear the line just hold the line all right now what do you believe you can hear me clearly uh yes I can now
11,scam,youtube,hi there I received a missed call from this number what is this regarding do you know uh okay can I have your name please that's my full name you have reached the HMRC department right now and I can see here we were trying to call you yesterday right that's right you're talking to officer right now and I'm from HMRC department how are you doing today first of all I thought all my taxes were all in fine I mean I didn't know I have a problem with HMRC no we don't want to talk about the taxes
12,scam,youtube,thank you for calling PayPal customer support your approximate wait time is three minutes the next available PayPal customer care executive will answer your call shortly how are you today hello there yes sir you're talking with the PayPal how may I help you yes this is the PayPal yes sir it's the PayPalI don't know I received a message from you guys did I need to pay some money can you read the whole message to me which you received from the PayPal
13,scam,youtube,hi dear customer this is call from amazon prime support to let you know that your request of amazon prime subscription for one year will going to proceed and you have been successfully charged of 79.99 from your account if you want to cancel and want a refund please press one to talk with our representative or simply hang up to continue thank you hi dear customer this is call from amazon prime support to let you know that your request of amazon prime subscription for one year will going to proceed and you have been successfully charged of 79.99 from your account if you want to cancel and want a refund please press one to talk with our representative or simply hang up to continue thank you thank you for getting connected with amazon prime support how may i help you uh i just got a recorded message saying that uh i got a 79 pounds um subscription for amazon but i don't remember doing that
14,scam,youtube,hello dear customer your internet is getting disconnected within four hours due to router malfunctioning please get in touch with technical department for a replacement router and reconnection of internet please press one to speak to your internet service provider thank you thank you for getting connected with the internet department you are speaking to how are you doing today sorry you you
15,scam,youtube,thank you for calling hm revenue and customs HMRC how may I help you hi may i speak with officer please sure may i have your name please let me check it for you is in a meeting right now but i will find out okay sure can i just tell you that i've reported your number so yeah your number is going to be shut down soon I've contacted your network provider your town ahmedabad in india are you located there what do you mean by ahmedabad
16,scam,youtube,you reached the department of national crime agency how can i help you my name is so i mean i got a message saying that i have some problems with the my national insurance number uh when did you receive the call yesterday okay and first of all let me introduce myself my name is officer season charlie is in alpha 6581 I would like to ask you did you received any reference number
17,scam,youtube,hello hi how can i help you today sorry i got a mised call from this number i'm not really sure what's about is it the dentist i have an appointment next week no you're calling a national debt helpline we help people for the unsecured debt for free government program well you know what i um i lost my job six months ago and um i haven't been paying my bills so is it something you can help with yes of course so what could be the total debt level that you brought properly on any rough idea like five thousand ten thousand fifteen thousand at the moment uh seven thousand seven thousand pounds right um are you
18,scam,youtube,thank you so much for calling carphone warehouse this is how may i help you hello um yeah so i'm with three but i'm not very happy with three uh do you do contract with other um with ee for example up until the other test we are doing context with all the major networks uh vodafone o2 ee like our tesco virgin perfect okay so can i can i do a
19,scam,youtube,hi mr how are you doing today fine i'm great who is this uh this is you know you have talked to me in previous time about your ppi compensation so what what do i need to do for this ppi uh compensation you know you have to complete your uh confirmation we need your sort code account number for verification you said that call me after some time i will do that that's why we are calling you oh please help me with your sort code account number of course for depositing the compensation how much would be the compensation again your full compensation is let me check
20,scam,youtube,her majesty revolution customs this is officer how can i help you one of your colleagues tried to call me this morning did you say hmrc yes correct sir can i have your full name yes my name is and then my surname is two names okay right correct
21,scam,youtube,thanks for calling how to help you hi there my name is and one of your colleagues tried to call me yesterday but I was very busy so I'm just wondering what's the call regarding so can I have a full name sir and my surname is okay alright we just tried to call you yesterday about the refund of your mis-sold PPI claim yes I've heard of it so how much would that be the full amount of which you are entitled to receive is
22,scam,youtube,please hold while we connect you to one of our agents from the fraud prevention team yes I'm from the fraud department team how can I help you today ah hi uh how's it going uh I had a transaction for the John Lewis for 345 pounds and I'll be honest we don't even shop at John Lewis uh yeah yeah I do I do okay I'm able to get your full name please sir okay nice to meet you sir and am I able to get it nice to meet you sir too thank you sir all right let's get your sort code please okay and the account number
23,scam,youtube,hi this is a call from Amazon to inform you that your Amazon Prime account will be Auto renewed for 79.99 from your bank account so enjoy using Amazon Prime services or if you wish to discontinue or unsubscribe Services then speak to our Amazon service manager by pressing one
24,scam,youtube,dear customer we have detected a suspicious activity on your Amazon account an unauthorized purchase of iPhone 6s 64 gigabytes has been ordered from your Amazon account to cancel your order or to connect with one of our customer support Representatives please press one
25,scam,youtube,We have found some suspicious activity in your amazon account that someone has tried to order an iphone 11 so that's why we called you do you know about that uh one minute let me confirm your phone number your phone number is okay so this is just a confirmation call and we have found that you haven't uh placed the order right yes that's correct I haven't do we have do we have any computer or laptops so that we can be able to send you an online cancellation form
26,scam,youtube,hello oh a very good day to you madam this is thank you for getting connected with Amazon how can I help you well I don't think I have anything to do with Amazon well actually Madam the thing is that uh yes India we have we have received some notification uh we're checking our system that someone else is using your number and your personal details do you know who is
27,scam,youtube,hello this is virgin media we have detected some suspicious activity on your broadband line and we will disconnect your service within 24 hours to resolve this matter please press one to speak to our agent
28,scam,youtube,thank you for calling HM Revenue & Customs yes I received a phone call earlier I was told to call back can I have your name who is this yes this is n which number you receive a call like your home phone number or your cell phone number can you help me out with your number yes this is my telephone number is was this the same number on which you receive a call from us
29,scam,youtube,you have to press 1 to get connected to the officer of hmrc if in case you don't press 1 and your call is not connected to us then the warrant will be issued under your name straight away and you will get arrested shortly
30,scam,youtube,thank you for calling the support center how may i help you yes i seem to have a problem on my laptop because there's like an error screen which i can't get rid ofand it says to call this number something but uh okay windows warning alert
31,scam,youtube,hello thank you for calling support whom i helped you hello yes i've got a problem with my uh email my gmail and i'm wondering if you can help with it definitely i can help you with that problem what's the exact problem you're facing with your gmail so i've got an ipad here that i already have the in the ipad if you can help that's definitely i can help you so here i would like to know do you have a computer as well apart from this ipad i have a laptop as well yes but i i don't need the mail on it and uh you you don't use your emails on your laptop no no
32,scam,youtube,Thank you for calling reimage support please wait for the next available agent hi thank you for calling reimage my name is how can I help you today hi yeah i think i've got a problem with my computer it was it was talking about a virus first and i downloaded re-image and it seems to have identified some things and i'm not sure what it means if you can help okay okay if i got it correctly you are saying that you have virus in your computer is that right sir well I saw a message about a virus and I was prompted to download reimage and it did a scan and it's detected some stability issues is that something you can help with
33,scam,youtube,yeah hi sir this is a call back from the Norton help desk we just received a call how may I help you today yeah um I've got an invoice here and it's I haven't ordered Norton and I don't know why I'm getting the invoice go with the go support now.com you just have to type in over there
34,scam,youtube,hi this is from amazon customer service we have seen a recent order number amz 0987 of iphone 11 pro on your account which is built on your card attached to your amazon account the amount charged is 1099 we noticed some suspicious activity on your account so we have put in hold to the transaction please press one now and to report press two
35,scam,youtube,Thank you for calling support my name is can i help you today i've got an important security message i'm making it says my computer's being shut down what were you doing on the computer when you have these messages can you lower down the volume of your computer
36,scam,youtube,thanks for your call speaking with can we help you hi i was just trying to watch movies in my computer and it's telling me it's locked and i have to call security okay and what were you trying to do on this computer i'm watching movies is this your personal computer or it's a family computer its a work computer it's a work computer okay so do you have any IT guy sorry do you have any IT guy in your work in your office no my home no i brought my work laptop home
37,scam,youtube,Dear user your i.p. address has been blocked due to suspicious activities on your network. Your personal information may get stolen. So please do not login to your email and banking. To report this issue please contact Windows support at or press 1 to speak to our agent
38,scam,youtube,Thank you for calling Amazon this is. Can I help you? Yeah I was just getting an email saying I ordered a TV but I did not alright sir just give me a moment let me check. And when did you receive this email? Today at may I have the email address? Let's see my email address is. I'm going to send you a one-time verification code ok? On your email just to verify I'm talking to the right person.
39,scam,youtube,this is an emergency call from visa secure there is an online transaction of 600 pounds from your account if you did not make the payment please press one immediately to talk to our representative thank you for connecting bt broadband my name is how can i help you yeah i just got a message there about a payment from visa sir no need to worry sir it's an alert message the manchester people are trying to take the money with the help of internet line so especially we got permissions to keep some security IDs
40,scam,youtube,this is bt technical department we are hereby to inform you that your internet line will be terminated from today onwards to fix up the problem please press one to connect with bt if you wish to disconnect your internet press 2. Yes hello hello hey am I speaking to yes speaking yeah hi sir this is I'm calling you from the network terminal departmenti'm just worried about transactions yeah yeah don't worry we are here to help you out
41,scam,youtube,we won't be able to provide any further technical services to your computer we kindly request you to reach us at so that we can process the refund for the services that you have paid thank you
42,scam,youtube,thank you for calling the support center how may i help you yes i seem to have a problem on my laptop because there's like a an error screen which i can't get rid of and it says to call this number something but uh okay windows warning alert
43,scam,youtube,hi this is a call about the refund money that you have paid to our company for your computer services and protection now we are refunding it back as we will no longer be able to provide you any more services to your computer so please press one to connect to our refund executive
44,scam,youtube,"Thank you for calling support this is Mac, how may I help you? yes my computer's beeping it says someone signed on to my computer and it's it's a suspicious activity and i could get an infection from it. I am really sorry to hear that ma'am. Can I ask you what exactly you was doing when you got that kind of a message or an alert ma'am? All I did was put in American Heart Association all I did was put in typed in americanheartassociation.org to print my I'm a nurse and I took a CPR class"
45,scam,youtube,network firewall detected security error due to suspicious activity found on your network to fix this issue please give us a call on
46,scam,youtube,Thank you for calling support you're speaking with how can I help you? Ah well I got one of these big blue things that came up on my screen said that somebody had used something to access my computer and that it was a critical alert and it says let's see your computer has alerted us that is has been infected with a pornographic spyware and virus oh and since how long have you been getting all these things on your computer miss? It started yesterday and I just went to bed and left it
47,scam,youtube,yes hello yeah hello am I talking to now? Yes. Yeah hi this is from Hotmail support department I'm your email service provider so how are you doing today? Uh Hotmail okay what's the call about? Um let me confirm your email address at hotmail.com is that correct? Uh yeah that's right and so yeah within 48 hours ago did you trying to change your hotmail acount password more than 50 times? uh no I haven't
48,scam,youtube,Welcome to technical support. Avanquest technical support my name's how can I help you? hi my name is um i've downloaded one safe pc cleaner and it's identified a lot of files that i need to remove but i i can't i can't remove them without um i don't want like a license number or something? Yes and sir that's the reason why you need purchase the license for the onesafe PC cleaner to use all the features. In such a case in order to get the detail about this license could you please tell me if you have the order ID for purchase? No I I've just downloaded it I haven't ordered it. You just downloaded it?
49,scam,youtube,Thank you for calling my phone support my name is how may I help you? Yes my name is I'd like you to help me get my birthday corrected on my microsoft account I put in an error I put in the current date when I got the computer five years ago and I keep getting these things that say I need a family um family support in order to get into certain apps. So you need to change your birthday date on which sir like on your email and on my Microsoft account. So for that you need to call Microsoft we are my phone support. Oh this says this is the Microsoft support number here it says on the online internet.
50,scam,youtube,Thank you for calling my phone support this is how can I help you? i want to have you help me change my birth date on my microsoft account can you do that right? sir i will definitely help you out with that before i go ahead any further may i have your first and last name? All right thank you and your email address please? Okay thank you and in case the line got disconnected with the right number
51,scam,youtube,Yeah hi can I speak to? Yeah hi like he was trying to like reach you from the last couple of days but didn't got a hold of you the reason why he was trying to reach you for the last couple of days but didn't get a hold of you the reason why I was trying to phone you sir was because since the last two days we are receiving notification from your email somebody trying to access your email from China from China do you know anybody there
52,scam,youtube,all right madam now you have been successfully connected to the amazon support right now this team environment we are just working on it all right now just hold on i'm going to transfer this call to my financial department who is going to have a talk with you all right madam okay okay so right now madam like the hackers have charged you this amount of money today's morning okay might be not showing up in your account because it takes some time to come up on your online banking okay so let me provide you the cancellation form so we can cancel the stuff and refund you your money back into your account okay all right the hackers have charged you from your debit card okay and they have used your information in the western union do you know anything about
53,scam,youtube,I apprecaite your patience your call has been transferred to customer service specialist with TD bank weill I wanted to tell you this there is a pre-approved transaction coming onto your name there you have ordered an Apple Mac book pro and Apple air pod from Amazon is it correct? No I haven't placed any orders with Amazon in a long time. Well I'm afraid if it's not you which means it's got to be somebody else
