pair_id,topic,id,label,source,text
1,bank_suspicious_transaction,p001s,scam,paired_synth,"[Greetings], this is [Name] from [Company] Bank fraud team. A suspicious transaction of [Money] has come through on your account. We need to move your balance to a secure holding account while we investigate. I will read out the account number now. Could you also confirm the code we have just sent to your mobile?"
1,bank_suspicious_transaction,p001n,nonscam,paired_synth,"[Greetings], this is [Name] from [Company] Bank fraud team. A suspicious transaction of [Money] has come through on your account, so we have blocked the card already. Nothing needs moving. We will never ask for the code sent to your mobile. If you would rather check, hang up and call the number on your card."
2,delivery_customs_fee,p002s,scam,paired_synth,"[Greetings], this is [Company] Delivery. There is a parcel held at customs for you and there is an outstanding fee of [Money] before it can be released. I can take the card payment over the phone now. Could you read me the long number on the card and the security digits on the back?"
2,delivery_customs_fee,p002n,nonscam,paired_synth,"[Greetings], this is [Company] Delivery. There is a parcel held at customs for you and there is an outstanding fee of [Money] before it can be released. We do not take card details over the phone. The charge appears on your tracking page under reference [Number], and you can settle it there."
3,tech_support_computer,p003s,scam,paired_synth,"[Greetings], this is [Name] from [Company] technical support. We have detected an infection on your computer that is exposing your files. I need to install a support tool so I can take a look at the screen with you. Could you go to the download page while I stay on the line?"
3,tech_support_computer,p003n,nonscam,paired_synth,"[Greetings], this is [Name] from [Company] technical support, returning the ticket you raised about your computer. You mentioned the files were not opening. I can arrange a support session, but only through the portal you already log in to. Would you like me to book that for [Date]?"
4,tax_outstanding_amount,p004s,scam,paired_synth,"[Greetings], this is [Name] from the [Company] tax office. There is an outstanding amount of [Money] on your return and enforcement action is due today. To hold that off, payment needs to be made now to the account I give you. Could you confirm your identity number before we proceed?"
4,tax_outstanding_amount,p004n,nonscam,paired_synth,"[Greetings], this is [Name] from the [Company] tax office. There is an outstanding amount of [Money] on your return. The letter with reference [Number] went out to you last week. Payment goes through the official portal only, never to an account read out by phone. Would you like the reference again?"
5,recruitment_role,p005s,scam,paired_synth,"[Greetings], this is [Name] from [Company] Recruitment. You have been selected for the [Title] role, which pays [Money]. To secure the position there is a processing deposit of [Money], transferred to account [Number] today. Could you also send your bank account details through for the payroll setup?"
5,recruitment_role,p005n,nonscam,paired_synth,"[Greetings], this is [Name] from [Company] Recruitment about the [Title] role you applied for, which pays [Money]. There is no fee at any stage. Bank details are only collected through payroll once you have signed. Could you let me know your availability for an interview on [Date]?"
6,investment_returns,p006s,scam,paired_synth,"[Greetings], this is [Name] from [Company] Investments. Your portfolio has returned [Money] this quarter, which is well ahead of the market. To release the withdrawal there is a compliance deposit of [Money] first. Once that clears, the full amount is yours. Shall I take the transfer details now?"
6,investment_returns,p006n,nonscam,paired_synth,"[Greetings], this is [Name] from [Company] Investments. Your portfolio has returned [Money] this quarter, which is roughly in line with the market. Withdrawals go to your registered account and there is never a fee to release them. Would you like to go through the statement together?"
7,charity_donation,p007s,scam,paired_synth,"[Greetings], I am calling from [Charity Name]. We are raising funds for children affected by the flooding in [Location]. A donation of [Money] would go a long way. I can take your card details now over the phone. Could you give me the full number and your home address?"
