id,label,source,text,original_id,pair_id,pair_id
210,scam,youtube,the cancellation department this is how may i assist you hi my husband i got your call yep voicemail ma'am what's going on okay do you have your personal computer is it at your place yeah we have a computer yes so the firewall protection for your computer has expired he's talking about a computer and he's talking about our computer the box with the things the technology yeah yeah yes okay what's wrong with it okay the firewall there was a fireball protection which you were subscribed to which is expired now you have to pay 300 to wish and continue the new updated version do you wish that or you want to,210,210,210
75,scam,youtube,thank you for calling customer support you are talking to how can i help you hi i have a message on my screen that says my computer is blocked for security reasons okay and is this happening for the first time on your computer or has it happened prior to this once i've never seen anything like it okay and what were you trying to do on the computer when you got this message links that i i came across one was on facebook and what i clicked on i got this warning i'm not sure what i clicked on to get,75,75,75
85,scam,youtube,hello thank you for calling mcafee hi my name is how can i help you hi i got an invoice for mcafee today it just says despite your previous plan expiring we have now renewed your service plan as your hobbit auto debit services in effect there is no dollar amount listed well so what what am i being charged still i'm trading mom okay and i got information that you have been charged or the auto real subscription which you have last time okay like you want to cancel this order i want to cancel it all right all right i,85,85,85
154,scam,youtube,thank you for connecting with the cancellation department how may i assist you yes i had a missed call from this number it said to call for my refund yes sir so right now sir what you want to do do you want your refund or do you want to renew it no i want my refund i didn't know i was paying it all right no problem actually sir right now what happened your computer firewall security and the windows defender has got expired and right now your computer needs to be updated okay so that is the reason we will call you to,154,154,154
80,scam,youtube,thank you for calling support how can i help you hi i got an email with an invoice for 349 and i'm really really confused why you were confused because i don't even know what mcafee is what is a mcafee mcafee is the charges that has happened to use your account for what yeah so you need to go to your computer so i can help you to go ahead and cancel right now you need to follow the instructions i'm gonna tell you how to do it okay okay i appreciate that now do one thing sir as you are having,80,80,80
87,scam,youtube,thank you for calling norton this is how can i help you i'm being charged 255 so would you like to continue with it or would you like to cancel it i would like to cancel because we didn't we didn't okay okay okay for the cancellation you have to be seated in front of your computer so i can help you out with the cancellation if your computer is turned on right now yes it's turned on how do you think i can read my email okay can you please open up your google chrome browser on your computer there you will see a long white address bar,87,87,87
188,scam,youtube,thank you for calling mcafee you're speaking with abel how may i help you yeah hello yeah how's yeah hi this is this is i'm calling about an email that i received earlier today may i know what it says sir yeah it says due february 2nd 298 99 mcafee incorporated powered by quickbooks we have received your order and it's your orders being auto renewed but i don't want this i didn't order this i think there's been some kind of mistake i think there's a mistake am i speaking with it's we're speaking with yes okay there must be an invoice that would be a invoice number would,188,188,188
155,scam,youtube,yeah i had a missed call from this number yeah so this is a amazon refund department you have been you you have paid 599 for iphone 11 so we just want to confirm it that have you purchased that iphone no not that i'm aware of that is the reason sir we have been calling you just to check it out that the payment has been done that this is a genuine transaction or not for your safety sir you need to go ahead and turn on a computer i am getting your computer connected to our accounts department so if the money,155,155,155
170,scam,youtube,my name is how can i help you hi david i got an email from you about my was it mcafee subscriptions okay go ahead okay well i don't i don't really want to pay the 399 i prefer to cancel that okay you want to cancel all the services and why you want to cancel it because of the money yeah mostly this is a okay definitely ma'am we will cancel the services and for that we have to remove the services from your computer okay i'm sorry could you speak up a little bit it's a little hard to hear what you just said okay i'm telling you in order to cancel other services we have to remove the services from your computer is that,170,170,170
63,scam,youtube,hi this is calling you from mcafee i am the senior supervisor how are you doing today oh i'm fine mr thank you all right so i believe madam you just had a vote with one of our representatives regarding to your 395 95 refund right all right so could you please just explain me madam what exactly happened like can you see me once again what happened oh i just got an email that that i was being renewed for 395 95 so i believe that the subscription which has been ordered i believe that was an unauthorized charge right you didn't authorize that correct right i don't,63,63,63
76,scam,youtube,thank you for reaching tech support this is how may i help you today hi i have a message on my screen that says my access to the computer's blockfor security reasons it's all right you don't need to worry about that ma'am well it says my facebook login and my banking has been data is at risk so i am worried it seems like there is a bridge on your network which means it's an attempt of hacking with a second place when you click on an unknown website all right they can just it wasn't unknown it was on facebook it was on,76,76,76
132,scam,youtube,a very good day to you this is from amazon how may i help you oh yes i had something wrong with my account did you place that order of an iphone from your amazon account sir no no why would i do that my phone works perfectly fine and are you the only user of this amazon account or except you anybody else also use it for online shopping no i'm the only one that uses this one you're the only one all right so that means it's a fraudulent transaction sir which is happening to your account right i'm assuming because i didn't order an iphone all,132,132,132
229,scam,youtube,thank you for calling paypal please press one to talk with an agent your call will be recorded for training and monitoring purposes thank you thank you for calling paypal this is how can i help you hi i'm calling microsoft because i have a problem with my product key okay oh oh yeah so you have received a pop up from microsoft right yes i received an offical pop up pop up from paypal and microsoft okay and is it asking for the product key correct yes what's the product code okay okay so first of all i'd just like to let you know ma'am in order to provide you with,229,229,229
113,scam,youtube,is this mr yeah this is you today i'm doing pretty good how are you i'm doing very well thanks for asking lovely lovely so you must be knowing that our company is giving you a refund of 399 which you will subscribe and this refund is being given to you because the service will not be needed in your computer anymore yeah 389 399 99 i was telling the last time we paid for norton was back in 2004 i haven't bought norton in a long time i'm surprised i'm being charged this is not only not this that is being said this is a,113,113,113
227,scam,youtube,thank you for calling microsoft this is how may i help you today i need to speak with someone about a problem with my computer please okay right now you're talking with technician from microsoft my name is could you please tell me what were you doing on your computer when when you got this alert sir hey it's yeah i'm calling about my windows defender oh okay sure so could you read out that alert for me what do you see on the screen sir so i can help you it well i got the windows on the computer and okay could you read it a while ago they because i use it i use the computer purely for my the the emails and all the messages okay and,227,227,227
125,scam,youtube,thank you for calling technical support how can i help you hi i'm getting a message on my screen that says access to this device has been blocked for security reasons oh are you doing something on the internet ma'am when this thing happened yes i was looking at dress patterns and i came across a lovely article that was hosted on a facebook page yes let me tell you ma'am why the reason your computer has been blocked out because whenever you're looking something on the internet there will be some kind of a harmful that is called trojan it is an internet infection which is coming over the,125,125,125
114,scam,youtube,thank you for calling norton this is how may i help you yes my name is i was trying to contact my wife was working with them on getting an invoice refunded to us okay so do one thing open up your google chrome you want me to click on any desk okay it's got okay now give a click on download now now you need to click on never show incoming session do you see third option over there never show incoming session a turd option what do you mean by turd option,114,114,114
57,scam,youtube,thanks for calling geek squad this is how may i help you hello i got some kind of message a few days ago about a charge from geek squad or best buy or something like that can you help me a few days ago yeah or today i don't know i guess i was earlier today i've been drunk for like three days so i don't really know what what day it is what you need to do you just need to be in front of your computer so that i can connect you with the cancellation department so are you in front of your computer right now,57,57,57
152,scam,youtube,thank you for calling how can i help you yeah i'm returning a phone call about my refund yeah this is for the services this call is for the services of your computer so you want to renew the services or you just want to cancel it yeah no i don't want to renew it i didn't know i was paying for it sorry i didn't get you i said no i don't want to renew it i didn't even know i was paying for it okay not a problem sorry so you have to just fill up a cancellation form on your computer i'm going to provide,152,152,152
112,scam,youtube,hello hello thank you for calling paypal my name is i'm husband she said that i should call you yes told me i help you sir while we have a invoice from paypal for christmas lights 507 99 are you feeling okay you sound like you sound like you might have a cold no no i'm fine sir okay you got a little bit of a cold okay yeah christmas lights do you want to cancel the subscription or you have an issue with your order i love christmas lights but not that much i mean that's expensive okay in order to cancel it what you need to do sir is that first of all you,112,112,112
111,scam,youtube,thank you for calling paypal support this is how may i help you hi this is this is my wife made arrangements for me to work with you yeah the reason we just received our two more requests for one week for 950 and one is for 630 well the one that i'm looking at i believe this it says 874 so we can see here like someone logged into your account in russia i believe you guys don't know anybody in russia right no no i don't know anybody in russia that's crazy am i gonna get my money back you're going to get,111,111,111
104,scam,youtube,thank you for calling billing and cancellation this is here how are you hi it's it's i just got home from work i took off my work clothes you can help me out with my amazon okay yes ma'am yes yes well it might be as i told you as you do not have any amazon account was it 799 that's a lot of money oh my goodness what can we do all right so what i'll do i'll first of all well do one thing i first of all i'll just secure your amazon account right now so we are gonna we have to refund you the money okay that is 799 and,104,104,104
65,scam,youtube,so sir my name is and i'm from the cyber security department right now how are you doing today good so right now so what exactly is happening there are these hackers they're having their a bunch of devices being connected with your amazon account and with your personal informations right now and also we got to know the root cause of this problem the root cause of this problem is your ip address do you know what ip address stands for or what exactly it is no the ip address is something which is connected with your wi fi which is attached with your wi fi and the full form the of ip address,65,65,65
17,scam,youtube,hello hi how can i help you today sorry i got a mised call from this number i'm not really sure what's about is it the dentist i have an appointment next week no you're calling a national debt helpline we help people for the unsecured debt for free government program well you know what i i lost my job six months ago and i haven't been paying my bills so is it something you can help with yes of course so what could be the total debt level that you brought properly on any rough idea like five thousand ten thousand fifteen thousand at the moment seven thousand seven thousand pounds,17,17,17
61,scam,youtube,thank you for calling how can i help you yes this is paypal right yes ma'am i got a message that i was being charged for something but i haven't used paypal oh yes ma'am can you hear me yeah i can hear you yeah like we have seen some kind of suspicious activity on your computer i p address so that means like someone has tried to compromise that information so that's why you have been charged for that so like do you want to cancel the order yeah i definitely want to cancel it like sometime like when you use your phone your computer and like unfortunately you have to click that,61,61,61
242,scam,youtube,thank you for calling support you're speaking to how can i help you hello i'm calling because i'm getting a message on my computer that says my computer's blocked for security reasons oh well ma'am your voice is breaking up could you please repeat that again okay on my screen in my browser there's a message it says windows defender security center access to this computer is blocked for security reasons and it says to contact microsoft support okay what is the last activity that you're running on that laptop i was just trying to look up stencils for for dresses i'm going to try to pick up sewing okay,242,242,242
235,scam,youtube,customer support this is how am i assist you today yeah hey i'm calling about a message i just got on my computer maybe five minutes ago tells me to call windows microsoft customer support about a security warning so your device is not working right now right yeah i know it's no yeah it's i can't use it all right so you're trying to log in your device but it's not working right correct all right what it what can you see on your screen so please tell me so i can be help you out wait sorry repeat the can you i'm sorry can you repeat the the what you said,235,235,235
101,scam,youtube,hello yes this is calling for all right this is sir so you back to your home yeah i just got home i'm just turning on turning on the computer again okay how's your day so far it's really frustrating irritating sir why yes we got two days you know wednesday from wednesday to friday the cancellation keeps going on and you know the cancellation is the big right just open a new tab in your google chrome okay it's open now there,101,101,101
106,scam,youtube,i got a missed call from this number how can i help you well i got a call from amazon what was the reason what exactly i can see right find my system like yesterday someone has placed an order of an apple macbook pro and in the under your name this order has been made so this is the confirmation has been sent to you whether you have authorized this order to make this no i didn't that's why i'm a little concerned here but it simply means so it simply means now this is an unauthorised transaction and right now we have found some suspicious active into your account who is trying to mislead your name,106,106,106
