id,label,source,text,original_id
339,scam,zhi_scam,"[Greetings], this is about a paid survey programme. You could earn up to [Money] for each one. I just need to get you registered first. Could you give me your full name, mobile number, email and bank account details? Once that is confirmed your first survey comes through within a day.",339
166,scam,zhi_scam,"[Name], it is me. Look, something has happened and I need your help. I was in an accident and there are medical costs I cannot cover. Could you send the money across to this account today? Please keep it between us for now.",166
422,scam,zhi_scam,"[Greetings], this is about your sales background, which stood out to us. There is an affiliate marketing role open. You buy the products upfront, then drive the sales and take commission on them. It is fairly simple once you start. Would you like to hear more about it?",422
41,scam,zhi_scam,"[Greetings], this is [Company] online banking support. There has been a technical fault on your account. To sort it I need to verify your access with you. Could you read me the OTP or TAC code that has just gone to your mobile, along with your account number?",41
68,scam,zhi_scam,"[Greetings], this is [Name]. Honestly this work has changed things for me, I am bringing in about [Money] a month now. Almost hard to believe. To get you set up I will need a couple of details. What is your age, and what do you do at the moment?",68
549,scam,zhi_scam,"Right, [Title]. The next step we would suggest is applying for a personal loan of [Money]. Once that comes through we will tell you where it needs to go. You would transfer it to our [Company] account [Money] and the [Company] account [Money], so it is allocated properly.",549
87,scam,zhi_scam,"[Greetings], this is [Company] calling. We are doing a routine account verification to tighten up security. Could you confirm a few things for me? I need your bank account number, your full name and your date of birth. It helps us keep the account in order.",87
384,scam,zhi_scam,"[Greetings], your payment history and credit standing have qualified you for an interest rate reduction, somewhere between nought and five percent. We have tried to reach you a few times about this. This is the last courtesy call. Would you like to press one and speak to a representative?",384
605,scam,zhi_scam,"[Greetings], we would like to offer you the assistant purchaser role. It is quite a central position in our retail setup. There are a few basic details I would need from you before we go further. Is that something you would be up for?",605
56,scam,zhi_scam,"[Greetings], I am calling about suspicious money laundering activity linked to your identity. You can clear your name by cooperating with the investigation. There is a fee, and I will need some personal details from you. We also need further funds to move things along. Can you transfer that today?",56
519,scam,zhi_scam,"[Greetings], this is [Company] support. A system error has come up affecting your delivery. To get it sorted quickly, could you verify who you are for me? I need your identification number, your date of birth and your current address, then the dispatch can go ahead.",519
227,scam,zhi_scam,"[Greetings], this is the electric company calling. We have picked up some irregularities in your billing and think the meter may be faulty. To put it right I need to take payment from you over the phone. Could you read me your credit card details?",227
35,scam,zhi_scam,"[Greetings], this is [Name] from [Company]. There is a problem with your electricity bill. It looks like nothing has been paid for several months, so we are within our rights to disconnect the supply. To avoid that I need payment now, either through [Company] or a transfer to account [Number].",35
82,scam,zhi_scam,"[Greetings], this is the security team at [Company]. Your package has been flagged because of possible illegal contents. I am going to have to transfer you through to the police department to deal with it. They will talk you through what has happened and what needs to happen next.",82
457,scam,zhi_scam,"[Greetings], I came across your profile and thought of you. There is a part-time job that pays a few hundred a day. Would you like to hear about it? You buy goods online to build up the sales figures and reputation of sellers. It is simple enough and it pays well.",457
444,scam,zhi_scam,"[Greetings], this is [Company] calling. There is a package for you going to [Country] with your [Number] and your credit cards in it. A small issue has come up, so we need to verify your particulars for security. Could you confirm your full name and identity number with me?",444
65,scam,zhi_scam,"[Greetings], we are looking for confident people to join our escort team. The clients are selective and generous, with pay starting from [money]. It could suit you if you want to turn charm into something profitable, and it is handled discreetly. There is a small verification step. Shall I put you forward?",65
252,scam,zhi_scam,"[Greetings], we have an opening for stock takers at the moment. The role is mostly keeping our inventory levels right, so it matters quite a bit to us. Could you give me a few basic details so I can take it to the next stage?",252
85,scam,zhi_scam,"[Greetings], I was looking at your profile and your financial background stood out. There is an opening in fund transfers that fits it well. You would be handling transactions, helping things run efficiently, and taking commission on them. Is that something you would want to hear more about?",85
562,scam,zhi_scam,"For the investigation, what we would suggest is that you apply for a personal loan of [Money]. Once it is approved we will tell you where the funds need to go. You would transfer the loan amount to our [Company] account [Money] and the [Company] account [Money] so it is allocated correctly.",562
450,scam,zhi_scam,"[Greetings], this is [Company] calling. There is a package in transit to [Country] with your identification card and credit cards in it. Our records say it is yours. Unfortunately there has been a hiccup along the way. As part of our security process, could you confirm your full name and identity number?",450
57,scam,zhi_scam,"[Greetings], you have qualified for our debt consolidation programme. It lets you merge your balances and brings the interest rate down to as low as two percent. It is aimed at people with good credit like yourself. Would you like to press one and speak to an advisor about lowering your payments?",57
576,scam,zhi_scam,"[Greetings], this is [Name] at [Company]. I have spent years working the [Company] market and I am opening our [Product] up to a small group. The returns have been consistent and my own portfolio has done very well. Joining is simple, and the first forty people this week get a bonus. Shall I sign you up?",576
128,scam,zhi_scam,"[Greetings], [Title]. This is [Title][Name] from the [Country] district police. We are taking your situation seriously and need you to cooperate with us. What we need is for you to transfer your funds temporarily into a secure account so they can be verified. It is standard where large sums are involved. The money comes back to you afterwards.",128
235,scam,zhi_scam,"Good, [Title][Name], that is a sensible decision. Your investments are doing very well. Before we can process the withdrawal though, we have to clear the account of any money laundering flags, which means a final security deposit. It is standard and it protects your funds. Could you transfer [Money] to our verification account today?",235
642,scam,zhi_scam,"Right, [Title]. As part of the investigation we think applying for a personal loan of [Money] would help. Once it is approved we will guide you on where it should go. You would transfer the loan amount to our [Company] account [Money] and the [Company] account [Money] so that it is allocated properly.",642
640,scam,zhi_scam,"[Greetings], your financial background caught our eye. There is an opportunity in fund transfers we think would suit you. You would be helping transactions go through smoothly and taking commission on each one. It is a straightforward process and the earnings can be significant. Would you like to hear more?",640
58,scam,zhi_scam,"[Greetings], we are hiring assistant purchasers for a large retail company at the moment. The role covers inventory and purchasing, so it suits someone with an eye for detail. I would need a few basic details from you to get started. Is that something you are interested in?",58
601,scam,zhi_scam,"[Greetings], this is [Company] calling. There is an urgent delivery for you that needs customs clearance before it can move. Could you give me your personal details, your identity number and your address? Without those I cannot process it and the delivery will be held up further.",601
606,scam,zhi_scam,"[Greetings], I am calling with some good news. You have won a prize in a sweepstakes draw, and it is a significant amount. To release the winnings we need either a small processing fee or your bank account details so the transfer can go through. Which would you prefer to do?",606
395,nonscam,zhi_nonscam,"[Greetings], it is [Name]. I was just checking in to see how your week has been going so far. Thought we could catch up properly before the weekend arrives. Either a quick call or a walk somewhere, whichever suits you better. Let me know what works.",395
53,nonscam,zhi_nonscam,"[Greetings], this is [Name]. [Company] have added some new privacy tools to their cloud storage. You can encrypt files now before they get uploaded, which seems worth having. I thought it might be useful for you. Should we go through how to set it up together?",53
215,nonscam,zhi_nonscam,"[Greetings], this is [Company] Internet Services calling. We are carrying out maintenance in your area on [Date], starting from [Time]. Your service may drop out briefly while that is happening. Nothing is needed from you at this end. Thank you for bearing with us.",215
51,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I saw that [Company] have launched a smart home assistant with security features built in. I remembered you were looking at options for your place. Would you like to go through the specifications together sometime this week?",51
570,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I have started putting a playlist together for our next trip to [Location]. Thought you might want to help me choose what goes on it. I still have all your old favourites saved somewhere. Shall we go through it this week?",570
134,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I downloaded a journaling app the other day that lets you add voice memos with timestamps. It has been quite a reflective thing to use, more than I expected. Would you like to give it a try as well?",134
290,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I am having a small board game night at mine this [Date] at [Time]. Nothing formal, just snacks and a few people. It should be a relaxed evening. Would you like to come along and join us?",290
411,nonscam,zhi_nonscam,"[Greetings], this is [Name] from [Company] Legal Aid. We are assisting people with contract dispute claims relating to pandemic disruptions at the moment. If you want to speak with a caseworker, come into our advisory centre during business hours. Bring copies of your agreement or receipt with you.",411
141,nonscam,zhi_nonscam,"[Greetings], this is [Company] Alumni Relations calling. We are putting together a virtual reunion for the class of [Year]. [Name] and a number of your old classmates have already said they will be there. Would you like to take part and reconnect with everyone?",141
551,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I sat in on an online seminar about cybersecurity that [Company] were running, and it was genuinely insightful. I took a fair few notes while it was on. I can send them over if you would find them useful. Let me know.",551
123,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I heard your [Title] presentation went really well, so congratulations on that. I thought it was worth marking somehow. Would you want to celebrate with a movie night at the weekend? I am free either evening.",123
585,nonscam,zhi_nonscam,"[Greetings], this is [Company] Bank calling. We are running a limited-time interest rate reduction on home loans at the moment. It may or may not suit your situation, so it is worth a proper conversation. Would you like to speak with one of our loan officers about it?",585
307,nonscam,zhi_nonscam,"[Greetings], this is [Name] from [Company] General Insurance. I am calling to help you start the claims process after the burglary at your home. We can go through what your policy covers and what you will need to put the submission together. Shall we work through it now?",307
572,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I am planning a small open mic night at [Location] next month. You have such a good voice and I thought of you straight away. Would you want to perform something on the night? I can help you register if you like.",572
172,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I am organising a surprise appreciation call for [Name] this weekend. It would be lovely to have you on it to say a few words. Nothing rehearsed, just whatever comes to mind. Let me know if you are free.",172
110,nonscam,zhi_nonscam,"[Greetings], this is [Name]. You mentioned you were unsure about that job posting asking for sensitive details. If you want to check whether the recruiter is real, the safest thing is to go into [Company]'s local employment office and speak to the job coordinator yourself.",110
591,nonscam,zhi_nonscam,"[Greetings], this is [Name] from [Company] University Funding Office. Tuition reimbursement cheques are going out this month. If you need to confirm your disbursement or hand in updated bank documents, come to the finance division at your campus office. Bring your identification with you.",591
654,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I know you have been trying to work on your public speaking. There is a community event coming up at [Location] where new speakers can practise in front of a small group. Would you like me to sign us both up for it?",654
183,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I came across a donation drive for displaced communities in [Location], run officially by [Company]. If you want to check it out or contribute directly, there is a branch near [Location] where you can speak to the coordinators yourself.",183
370,nonscam,zhi_nonscam,"[Greetings], this is [Company] Medical Clinic calling. We are ringing to confirm your appointment on [Date] at [Time] with [Title][Name]. If you need help with transport, or if the time no longer works, just tell us. We are happy to move it for you.",370
104,nonscam,zhi_nonscam,"[Greetings], this is [Name] from [Company] Resorts. I understand you are planning a stay with us. Could you let me know your preferred check-in and check-out dates? Once I have those I can look at what we have available and what the rates would be.",104
563,nonscam,zhi_nonscam,"[Greetings], this is [Company] Bank Support. I understand you have run into a problem using online banking. Could you confirm your username for me, and then describe briefly what is happening when you try to log in? I will see what I can do from here.",563
71,nonscam,zhi_nonscam,"[Greetings], this is Dr. [Name]'s office calling. We are ringing to remind you about your follow-up appointment after your recent surgery. It is important that you come along as scheduled so the post-operative care stays on track. We will see you then.",71
579,nonscam,zhi_nonscam,"[Greetings], this is [Name] from [Company] Government Aid Division. We are confirming contact details for future disbursement alerts. If anything on your file needs updating or correcting, please come into your local government centre in person and bring your official identification with you.",579
67,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I am helping to organise a charity walk at [Location] on [Date] for a local cause. It would mean a lot to have you there with us on the day. Let me know if it is something you would be interested in.",67
626,nonscam,zhi_nonscam,"[Greetings], this is [Name] from [Company] Grocery Services. A fresh shipment of organic produce has just come in, so there is a good range at the moment. Would you like to place an order for fruit and vegetables for this week?",626
197,nonscam,zhi_nonscam,"[Greetings], this is [Name]. I just wanted to ring and wish you a joyful [Occasion]. I hope you get the chance to relax properly and spend it with the people you care about. No need to call back, I only wanted to say it.",197
500,nonscam,zhi_nonscam,"[Greetings], this is [Name] from [Company] Community Center. We are running a craft workshop on [Date] and thought it might interest you. It is beginner-friendly and all the materials are provided, so there is nothing to bring. Would you like me to reserve a spot for you?",500
546,nonscam,zhi_nonscam,"[Greetings], this is [Company] Foundation calling. We are looking for people to join our wilderness survival course. It covers fire-building, shelter-making and a fair bit more, all out in the field. Would that be something you would want to learn?",546
420,nonscam,zhi_nonscam,"[Greetings], this is [Name] from [Company] Travel Insurance. If you have a trip coming up, we would like to make sure you are properly covered while you are away. There are a few different levels of cover. Would you like to go through the options together?",420
